Name,Win,Loss,Num,Color,CMC,Type,Win %
Abrade,112,103,25,R,2.0,Instant,0.5209302325581395
Adanto Vanguard,106,84,23,W,2.0,Creature,0.5578947368421052
Ancient Tomb,142,161,39,,0.0,Land,0.46864686468646866
Animate Dead,83,96,24,B,2.0,Enchantment,0.46368715083798884
Arbor Elf,167,125,35,G,1.0,Creature,0.571917808219178
Arc Trail,99,99,24,R,2.0,Sorcery,0.5
Arid Mesa,166,142,40,,0.0,Land,0.538961038961039
"Ashiok, Nightmare Weaver",127,144,33,BU,3.0,Planeswalker,0.46863468634686345
Avacyn's Pilgrim,160,103,33,GW,1.0,Creature,0.6083650190114068
Azorius Signet,144,150,39,UW,2.0,Artifact,0.4897959183673469
Badlands,128,121,32,BR,0.0,Land,0.5140562248995983
Balance,100,83,24,W,2.0,Sorcery,0.546448087431694
Baleful Strix,85,136,29,BU,2.0,Creature,0.38461538461538464
Basalt Monolith,120,143,33,,3.0,Artifact,0.45627376425855515
Bayou,86,71,21,BG,0.0,Land,0.5477707006369427
Biogenic Ooze,160,121,34,G,5.0,Creature,0.5693950177935944
Birds of Paradise,197,166,43,G,1.0,Creature,0.5426997245179064
Bitterblossom,69,95,22,B,2.0,Enchantment,0.42073170731707316
Blast from the Past,113,113,28,R,3.0,Instant,0.5
Blightsteel Colossus,99,100,25,,12.0,Creature,0.49748743718592964
Blood Crypt,102,123,31,BR,0.0,Land,0.4533333333333333
Bloodstained Mire,144,152,38,,0.0,Land,0.4864864864864865
Bonesplitter,95,82,23,,1.0,Artifact,0.536723163841808
Brainstorm,83,111,28,U,1.0,Instant,0.42783505154639173
Breeding Pool,153,123,35,GU,0.0,Land,0.5543478260869565
Bribery,139,161,36,U,5.0,Sorcery,0.4633333333333333
"Brimaz, King of Oreskos",87,85,21,W,3.0,Creature,0.5058139534883721
Burst Lightning,135,84,25,R,1.0,Instant,0.6164383561643836
Celestial Colonnade,111,111,30,UW,0.0,Land,0.5
Chain Lightning,164,134,36,R,1.0,Sorcery,0.5503355704697986
"Chandra, Torch of Defiance",133,109,32,R,4.0,Planeswalker,0.5495867768595041
Channel,88,88,22,G,2.0,Sorcery,0.5
Chart a Course,121,147,34,U,2.0,Sorcery,0.45149253731343286
Chrome Mox,162,140,41,,0.0,Artifact,0.5364238410596026
City of Brass,74,103,25,,0.0,Land,0.4180790960451977
Coalition Relic,141,183,43,,3.0,Artifact,0.4351851851851852
Coldsteel Heart,153,166,41,,2.0,Artifact,0.47962382445141066
Compulsive Research,118,124,30,U,3.0,Sorcery,0.48760330578512395
Condescend,114,105,28,U,1.0,Instant,0.5205479452054794
Consecrated Sphinx,148,148,40,U,6.0,Creature,0.5
Control Magic,112,95,27,U,4.0,Enchantment,0.5410628019323671
Council's Judgment,128,103,30,W,3.0,Sorcery,0.5541125541125541
Counterspell,152,148,41,U,2.0,Instant,0.5066666666666667
Courser of Kruphix,117,98,25,G,3.0,Creature,0.5441860465116279
Craterhoof Behemoth,174,130,36,G,8.0,Creature,0.5723684210526315
Creeping Tar Pit,129,164,37,BU,0.0,Land,0.4402730375426621
Cryptic Command,103,84,26,U,4.0,Instant,0.5508021390374331
Dack Fayden,123,138,33,RU,3.0,Planeswalker,0.47126436781609193
Damnation,84,105,25,B,4.0,Sorcery,0.4444444444444444
Dance of the Dead,84,106,26,B,2.0,Enchantment,0.4421052631578947
Dark Confidant,92,85,23,B,2.0,Creature,0.519774011299435
Dauntless Bodyguard,112,91,24,W,1.0,Creature,0.5517241379310345
Demonic Tutor,137,142,38,B,2.0,Sorcery,0.4910394265232975
Dig Through Time,143,158,40,U,8.0,Instant,0.4750830564784053
Dismember,154,132,38,B,3.0,Instant,0.5384615384615384
Doom Blade,91,105,27,B,2.0,Instant,0.4642857142857143
Dryad Militant,103,77,22,GW,1.0,Creature,0.5722222222222222
Duress,121,142,31,B,1.0,Sorcery,0.4600760456273764
"Elspeth, Knight-Errant",123,107,29,W,4.0,Planeswalker,0.5347826086956522
"Elspeth, Sun's Champion",113,147,33,W,6.0,Planeswalker,0.4346153846153846
Elves of Deep Shadow,111,107,26,BG,1.0,Creature,0.5091743119266054
Elvish Mystic,158,130,36,G,1.0,Creature,0.5486111111111112
"Emrakul, the Aeons Torn",107,108,27,,15.0,Creature,0.49767441860465117
Entomb,88,101,25,B,1.0,Instant,0.4656084656084656
Eternal Witness,81,91,22,G,3.0,Creature,0.47093023255813954
Everflowing Chalice,120,128,34,,0.0,Artifact,0.4838709677419355
Fact or Fiction,140,158,38,U,4.0,Instant,0.4697986577181208
Falkenrath Gorger,117,89,25,R,1.0,Creature,0.5679611650485437
Fauna Shaman,144,100,30,G,2.0,Creature,0.5901639344262295
Fetid Pools,160,159,42,BU,0.0,Land,0.5015673981191222
Fiery Confluence,170,119,38,R,4.0,Sorcery,0.5882352941176471
Fiery Islet,100,106,27,RU,0.0,Land,0.4854368932038835
