name,testers,averageRating,rankingStDev,mapLink
Study Hall,1,3.0,0.0,/resources/cube-map/?cube=
Bold Plagiarist,1,3.0,0.0,/resources/cube-map/?cube=f47
Promise of Loyalty,1,3.0,0.0,/resources/cube-map/?cube=257
"Breena, the Demagogue",1,3.0,0.0,/resources/cube-map/?cube=2p
Inferno Project,1,3.0,0.0,/resources/cube-map/?cube=pn9
Essence Pulse,1,3.0,0.0,/resources/cube-map/?cube=f47
Blossoming Bogbeast,1,3.0,0.0,/resources/cube-map/?cube=f47
Witch's Clinic,1,3.0,0.0,/resources/cube-map/?cube=
Monologue Tax,3,2.8000000000000003,0.28284271247461906,/resources/cube-map/?cube=
Guardian Augmenter,2,2.75,0.25,/resources/cube-map/?cube=9bd
Pest Infestation,76,2.698684210526316,0.38336921225965354,/resources/cube-map/?cube=um4&cube=jq&cube=m78&cube=9s&cube=196&cube=bq7&cube=mi&cube=k4a&cube=1w1&cube=ju&cube=4qw&cube=f47&cube=18x&cube=lf&cube=19s&cube=ca&cube=v3v&cube=qlo&cube=wf&cube=4ij&cube=bir&cube=3ou&cube=1uj&cube=1zl&cube=k8&cube=baq&cube=l9i&cube=6rc&cube=uxz&cube=2le&cube=bt&cube=uzu&cube=7yt&cube=24c&cube=1su&cube=bsk&cube=dhi&cube=mc&cube=me&cube=cux&cube=1s&cube=9nk&cube=2j0&cube=5js&cube=7g&cube=q8&cube=gi7&cube=qk2&cube=6r2&cube=opp&cube=78g&cube=6f
"Laelia, the Blade Reforged",89,2.521348314606741,0.3878699857786705,/resources/cube-map/?cube=um4&cube=5ar&cube=jq&cube=6si&cube=m78&cube=9s&cube=bq7&cube=mi&cube=6t1&cube=k4a&cube=k5a&cube=1w1&cube=ju&cube=kk7&cube=4qw&cube=18x&cube=lf&cube=19s&cube=ca&cube=v3v&cube=djg&cube=qlo&cube=wf&cube=413&cube=2lp&cube=di1&cube=4ij&cube=bir&cube=1so&cube=1uj&cube=1zl&cube=k8&cube=l9i&cube=6rc&cube=uxz&cube=2le&cube=bt&cube=uzu&cube=7yt&cube=24c&cube=1su&cube=bsk&cube=dhi&cube=mc&cube=me&cube=cux&cube=1s&cube=9nk&cube=7g&cube=q8&cube=gi7&cube=qk2&cube=6r2&cube=opp&cube=1bh&cube=78g&cube=6f&cube=en
"Esix, Fractal Bloom",1,2.5,0.0,/resources/cube-map/?cube=
"Veyran, Voice of Duality",9,2.4444444444444446,0.42975732457363813,/resources/cube-map/?cube=jq&cube=u86&cube=k5a&cube=257&cube=sps
Revival Experiment,1,2.4,0.0,/resources/cube-map/?cube=kk7
Archaeomancer's Map,4,2.4,0.406201920231798,/resources/cube-map/?cube=1su
Surge to Victory,1,2.2,0.0,/resources/cube-map/?cube=
"Osgir, the Reconstructor",8,2.15,0.4031128874149274,/resources/cube-map/?cube=257&cube=di1&cube=t1i&cube=5js&cube=en
Dazzling Sphinx,2,2.15,0.35,/resources/cube-map/?cube=f47
"Losheel, Clockwork Scholar",5,2.1399999999999997,0.22449944320643647,/resources/cube-map/?cube=5js&cube=en
Triplicate Titan,51,2.131372549019608,0.4928867332313412,/resources/cube-map/?cube=ckt&cube=amh&cube=um4&cube=mi&cube=6t1&cube=k4a&cube=k5a&cube=ju&cube=kk7&cube=18x&cube=wf&cube=27l&cube=di1&cube=4ij&cube=bir&cube=f15&cube=3ou&cube=1uj&cube=1zl&cube=baq&cube=l9i&cube=uxz&cube=bt&cube=24c&cube=1su&cube=bsk&cube=dhi&cube=mc&cube=cux&cube=1s&cube=9nk&cube=2j0&cube=5js&cube=78g
"Adrix and Nev, Twincasters",3,2.1,0.21602468994692867,/resources/cube-map/?cube=5js
"Willowdusk, Essence Seer",2,2.1,0.4,/resources/cube-map/?cube=f47
Radiant Performer,2,2.1,0.6000000000000001,/resources/cube-map/?cube=f47
Digsite Engineer,7,2.0999999999999996,0.42426406871192845,/resources/cube-map/?cube=f15&cube=en
Paradox Zone,25,2.0839999999999996,0.38018942647054244,/resources/cube-map/?cube=5ar&cube=jq&cube=u86&cube=6si&cube=4qw&cube=f47&cube=lf&cube=djg&cube=uzu&cube=1su&cube=mc&cube=1s&cube=2j0&cube=5js&cube=6r2&cube=opp&cube=78g
"Fain, the Broker",11,2.0454545454545454,0.45599768014488923,/resources/cube-map/?cube=bq7&cube=f47&cube=di1&cube=1so&cube=5js&cube=wxx
"Rionya, Fire Dancer",3,2.033333333333333,0.5557777333511021,/resources/cube-map/?cube=um4
Incarnation Technique,29,2.0275862068965513,0.48130322489311134,/resources/cube-map/?cube=bq7&cube=k4a&cube=257&cube=kk7&cube=18x&cube=19s&cube=wf&cube=bir&cube=1uj&cube=l9i&cube=2le&cube=bt&cube=uzu&cube=1su&cube=dhi&cube=cux&cube=2j0&cube=78g&cube=en
Keen Duelist,7,2.0142857142857147,0.596246764420263,/resources/cube-map/?cube=85d&cube=m78&cube=f47&cube=9nk&cube=78g
"Gyome, Master Chef",1,2.0,0.0,/resources/cube-map/?cube=5js
Excavation Technique,2,2.0,0.7999999999999999,/resources/cube-map/?cube=
Theoretical Duplication,1,2.0,0.0,/resources/cube-map/?cube=f47
"Tivash, Gloom Summoner",2,1.95,0.050000000000000044,/resources/cube-map/?cube=f47
"Felisa, Fang of Silverquill",3,1.9333333333333336,0.30912061651652356,/resources/cube-map/?cube=u86&cube=257
Combat Calligrapher,22,1.9136363636363638,0.5083801857105964,/resources/cube-map/?cube=um4&cube=k4a&cube=257&cube=ju&cube=f47&cube=18x&cube=ca&cube=bir&cube=1uj&cube=k8&cube=256&cube=1su&cube=mc&cube=5js
Author of Shadows,2,1.9000000000000001,0.30000000000000004,/resources/cube-map/?cube=
Spawning Kraken,1,1.9,0.0,/resources/cube-map/?cube=2j0
Angel of the Ruins,10,1.81,0.3961060464067672,/resources/cube-map/?cube=amh&cube=l9i&cube=1su&cube=2j0&cube=5js&cube=en
Blight Mound,5,1.8,0.6164414002968976,/resources/cube-map/?cube=257&cube=k8&cube=6r2
Elementalist's Palette,1,1.8,0.0,/resources/cube-map/?cube=
Wake the Past,1,1.8,0.0,/resources/cube-map/?cube=en
Cursed Mirror,10,1.7400000000000002,0.44542114902640173,/resources/cube-map/?cube=m78&cube=l9i&cube=1su&cube=1s&cube=en
Cunning Rhetoric,1,1.7,0.0,/resources/cube-map/?cube=6si
Inkshield,12,1.6833333333333333,0.6491447364716816,/resources/cube-map/?cube=k4a&cube=djg&cube=f15&cube=l9i&cube=pn9&cube=uzu&cube=1su&cube=cux&cube=1s&cube=gi7
Bronze Guardian,5,1.6800000000000002,0.3487119154832538,/resources/cube-map/?cube=amh&cube=f15&cube=5js
Oversimplify,3,1.6666666666666667,0.23570226039551584,/resources/cube-map/?cube=f47
"Alibou, Ancient Witness",3,1.6333333333333335,0.2867441755680875,/resources/cube-map/?cube=en
Ruin Grinder,12,1.616666666666667,0.3578485092263982,/resources/cube-map/?cube=9s&cube=di1&cube=l9i&cube=1su&cube=mc&cube=5js&cube=en
Audacious Reshapers,2,1.6,0.09999999999999998,/resources/cube-map/?cube=di1
Replication Technique,1,1.6,0.0,/resources/cube-map/?cube=
Tempting Contract,1,1.6,0.0,/resources/cube-map/?cube=
Veinwitch Coven,5,1.6,0.31622776601683794,/resources/cube-map/?cube=k8&cube=uzu
"Yedora, Grave Gardener",2,1.5,0.5,/resources/cube-map/?cube=m78&cube=257
Fractal Harness,1,1.5,0.0,/resources/cube-map/?cube=5js
Sproutback Trudge,1,1.5,0.0,/resources/cube-map/?cube=f47
Curiosity Crafter,1,1.5,0.0,/resources/cube-map/?cube=5js
Guardian Archon,3,1.4000000000000001,0.2943920288775949,/resources/cube-map/?cube=amh&cube=6r2
Marshland Bloodcaster,1,1.4,0.0,/resources/cube-map/?cube=
Trudge Garden,2,1.2999999999999998,0.09999999999999998,/resources/cube-map/?cube=
Reinterpret,2,1.2999999999999998,0.09999999999999998,/resources/cube-map/?cube=85d
Sequence Engine,2,1.25,0.25,/resources/cube-map/?cube=u86&cube=5js
Sly Instigator,1,1.2,0.0,/resources/cube-map/?cube=
Inspiring Refrain,1,1.2,0.0,/resources/cube-map/?cube=
