name,testers,averageRating,rankingStDev
Skywhaler's Shot,1,3.0,0.0
Fiery Cannonade,3,3.0,0.0
Champion of the Flame,1,3.0,0.0
Fleshbag Marauder,3,3.0,0.0
Foundry Inspector,1,3.0,0.0
Eyeblight Massacre,3,3.0,0.0
Staunch Throneguard,2,3.0,0.0
Eyeblight Cullers,2,2.75,0.25
Fall from Favor,3,2.6666666666666665,0.4714045207910317
Crimson Fleet Commodore,3,2.6333333333333333,0.26246692913372704
Filigree Familiar,5,2.54,0.3199999999999999
Fire Diamond,2,2.5,0.5
Marble Diamond,2,2.4,0.6
Annoyed Altisaur,3,2.3000000000000003,0.5099019513592784
Natural Reclamation,2,2.3,0.40000000000000013
Haunted Cloak,1,2.3,0.0
Makeshift Munitions,4,2.2750000000000004,0.16393596310754996
Fin-Clade Fugitives,1,2.2,0.0
Briarblade Adept,2,2.2,0.30000000000000004
Charcoal Diamond,2,2.2,0.30000000000000004
Armory of Iroas,3,2.1666666666666665,0.4714045207910317
Azure Fleet Admiral,3,2.1333333333333333,0.8379870059984357
Maelstrom Colossus,3,2.1,0.21602468994692867
Forceful Denial,3,2.033333333333333,0.6599663291074443
Slith Ascendant,2,2.0,0.5
Maalfeld Twins,1,2.0,0.0
Exquisite Huntmaster,1,1.9,0.0
Sky Diamond,2,1.85,0.04999999999999993
Lifecrafter's Gift,1,1.8,0.0
Kinsbaile Courier,1,1.6,0.0
Moss Diamond,2,1.6,0.20000000000000007
Benevolent Blessing,1,1.5,0.0
Galestrike,1,1.5,0.0
Boarding Party,1,1.5,0.0
The Prismatic Piper,1,1.0,0.0
