Card,Number,Average Rating,Rating Stdev
Verge Rangers,14,1.7857142857142858,0.5248906591678238
Ethereal Forager,11,1.8181818181818181,0.3856946079199351
Sanctuary Blade,7,1.6428571428571428,0.6925256939166183
Sawtusk Demolisher,4,1.375,0.414578098794425
Slippery Bogbonder,3,1.6666666666666667,0.4714045207910317
"Kalamax, the Stormsire",3,2.0,0.0
Fireflux Squad,2,2.1,0.9
Cartographer's Hawk,2,1.5,0.0
Call the Coppercoats,1,2.0,0.0
"Shabraz, the Skyshark",1,2.0,0.0
Dismantling Wave,1,3.0,0.0
Tidal Barracuda,1,3.0,0.0
Titan Hunter,1,3.0,0.0
Species Specialist,1,1.0,0.0
Molten Echoes,1,1.5,0.0
"Kelsien, the Plague",1,1.5,0.0
"Trynn, Champion of Freedom",1,2.0,0.0
Capricopian,1,1.0,0.0
Bonder's Ornament,1,2.5,0.0
"Ukkima, Stalking Shadow",1,1.5,0.0
"Tayam, Luminous Enigma",1,1.5,0.0
"Brallin, Skyshark Rider",1,1.25,0.0
Nascent Metamorph,1,1.5,0.0
Avenging Huntbonder,1,1.0,0.0
"Cazur, Ruthless Stalker",1,1.5,0.0
