name,testers,averageRating,rankingStDev
Essence Pulse,1,3,0
Promise of Loyalty,1,3,0
"Breena, the Demagogue",1,3,0
Study Hall,1,3,0
Blossoming Bogbeast,1,3,0
Bold Plagiarist,1,3,0
Witch's Clinic,1,3,0
Inferno Project,1,3,0
Monologue Tax,3,2.8,0.282842712
Guardian Augmenter,2,2.75,0.25
Pest Infestation,76,2.698684211,0.383369212
"Laelia, the Blade Reforged",89,2.521348315,0.387869986
"Esix, Fractal Bloom",1,2.5,0
"Veyran, Voice of Duality",9,2.444444444,0.429757325
Archaeomancer's Map,4,2.4,0.40620192
Revival Experiment,1,2.4,0
Surge to Victory,1,2.2,0
"Osgir, the Reconstructor",8,2.15,0.403112887
Dazzling Sphinx,2,2.15,0.35
"Losheel, Clockwork Scholar",5,2.14,0.224499443
Triplicate Titan,51,2.131372549,0.492886733
Radiant Performer,2,2.1,0.6
"Adrix and Nev, Twincasters",3,2.1,0.21602469
"Willowdusk, Essence Seer",2,2.1,0.4
Digsite Engineer,7,2.1,0.424264069
Paradox Zone,25,2.084,0.380189426
"Fain, the Broker",11,2.045454545,0.45599768
"Rionya, Fire Dancer",3,2.033333333,0.555777733
Incarnation Technique,29,2.027586207,0.481303225
Keen Duelist,7,2.014285714,0.596246764
Theoretical Duplication,1,2,0
"Gyome, Master Chef",1,2,0
Excavation Technique,2,2,0.8
"Tivash, Gloom Summoner",2,1.95,0.05
"Felisa, Fang of Silverquill",3,1.933333333,0.309120617
Combat Calligrapher,22,1.913636364,0.508380186
Author of Shadows,2,1.9,0.3
Spawning Kraken,1,1.9,0
Angel of the Ruins,10,1.81,0.396106046
Wake the Past,1,1.8,0
Elementalist's Palette,1,1.8,0
Blight Mound,5,1.8,0.6164414
Cursed Mirror,10,1.74,0.445421149
Cunning Rhetoric,1,1.7,0
Inkshield,12,1.683333333,0.649144736
Bronze Guardian,5,1.68,0.348711915
Oversimplify,3,1.666666667,0.23570226
"Alibou, Ancient Witness",3,1.633333333,0.286744176
Ruin Grinder,12,1.616666667,0.357848509
Tempting Contract,1,1.6,0
Audacious Reshapers,2,1.6,0.1
Veinwitch Coven,5,1.6,0.316227766
Replication Technique,1,1.6,0
"Yedora, Grave Gardener",2,1.5,0.5
Sproutback Trudge,1,1.5,0
Curiosity Crafter,1,1.5,0
Fractal Harness,1,1.5,0
Guardian Archon,3,1.4,0.294392029
Marshland Bloodcaster,1,1.4,0
Reinterpret,2,1.3,0.1
Trudge Garden,2,1.3,0.1
Sequence Engine,2,1.25,0.25
Sly Instigator,1,1.2,0
Inspiring Refrain,1,1.2,0
