name,testers,averageRating,rankingStDev
Fall from Favor,7,2.957142857142857,0.07284313590846841
Feast of Succession,11,2.6,0.30748244591432294
Laboratory Drudge,1,2.5,0.0
Volcanic Torrent,3,2.5,0.5099019513592785
Slaughter the Strong,13,2.4384615384615382,0.3431493542030071
"Ardenn, Intrepid Archaeologist",3,2.4,0.43204937989385733
Merchant Raiders,6,2.4,0.30550504633038933
Gilt-Leaf Winnower,7,2.3857142857142857,0.4223355856884138
Azure Fleet Admiral,5,2.38,0.5114684741017769
Coastline Marauders,9,2.333333333333334,0.4714045207910317
"Juri, Master of the Revue",5,2.2800000000000002,0.3187475490101845
"Tormod, the Desecrator",3,2.2333333333333334,0.20548046676563253
"Halana, Kessig Ranger",10,2.21,0.4459820624195552
"Hamza, Guardian of Arashin",1,2.2,0.0
Daring Saboteur,5,2.2,0.2280350850198276
Staunch Throneguard,3,2.1666666666666665,0.40276819911981904
"Malcolm, Keen-Eyed Navigator",7,2.0714285714285716,0.41991252733425916
Tuya Bearclaw,2,2.05,0.15000000000000013
Prava of the Steel Legion,9,2.0222222222222226,0.3424674446093876
Brass Herald,1,2.0,0.0
Cuombajj Witches,1,2.0,0.0
Fiery Cannonade,1,2.0,0.0
"Dargo, the Shipwrecker",6,1.9833333333333332,0.41399141161247394
"Kangee, Sky Warden",3,1.9666666666666668,0.71336448530109
"Rograkh, Son of Rohgahh",2,1.95,0.34999999999999987
"Toggo, Goblin Weaponsmith",6,1.95,0.51234753829798
"Reyav, Master Smith",5,1.92,0.5192301994298867
Guildless Commons,2,1.9,0.09999999999999998
Araumi of the Dead Tide,5,1.8800000000000001,0.3709447398198282
Frenzied Saddlebrute,4,1.875,0.5539629951540085
Crimson Fleet Commodore,2,1.85,0.3500000000000001
"Ich-Tekik, Salvage Splicer",3,1.8333333333333333,0.24944382578492946
"Nadier, Agent of the Duskenel",1,1.8,0.0
"Thalisse, Reverent Medium",3,1.8,0.21602468994692867
Maelstrom Colossus,2,1.8,0.30000000000000004
"Alharu, Solemn Ritualist",4,1.75,0.2692582403567252
Demonic Lore,2,1.75,0.5499999999999999
Annoyed Altisaur,3,1.7333333333333334,0.4496912521077347
"Breeches, Brazen Plunderer",4,1.725,0.7595228765481656
Eyeblight Cullers,1,1.6,0.0
Benevolent Blessing,3,1.5666666666666667,0.4109609335312651
"Imoti, Celebrant of Bounty",3,1.5333333333333332,0.47842333648024415
Kangee's Lieutenant,2,1.5,0.5
Mindless Automaton,1,1.5,0.0
Elvish Dreadlord,1,1.4,0.0
"Brinelin, the Moon Kraken",1,1.3,0.0
Amphin Mutineer,1,1.2,0.0
Boarding Party,2,1.15,0.15000000000000002
Three Visits,1,1.1,0.0
"Slurrk, All-Ingesting",1,1.1,0.0
"Numa, Joraga Chieftain",1,1.1,0.0
Impulsive Pilferer,3,1.0666666666666667,0.09428090415820632
