name,testers,averageRating,rankingStDev
Vault of Champions,3,3.0,0.0
Mana Confluence,1,3.0,0.0
Merchant Raiders,1,3.0,0.0
Arcane Signet,1,3.0,0.0
Port Razer,1,3.0,0.0
Spectator Seating,3,3.0,0.0
Training Center,3,3.0,0.0
"Breeches, Brazen Plunderer",1,3.0,0.0
Sphinx of the Second Sun,1,3.0,0.0
Rejuvenating Springs,3,3.0,0.0
Undergrowth Stadium,3,3.0,0.0
"Wyleth, Soul of Steel",1,2.9,0.0
"Esior, Wardwing Familiar",1,2.9,0.0
Coastline Marauders,3,2.8666666666666667,0.18856180831641264
Akroma's Will,4,2.85,0.206155281280883
"Gilanra, Caller of Wirewood",2,2.6500000000000004,0.050000000000000044
"Archelos, Lagoon Mystic",1,2.6,0.0
Commander's Plate,3,2.566666666666667,0.3299831645537221
Reshape the Earth,1,2.5,0.0
Bladegriff Prototype,2,2.5,0.0
"Kediss, Emberclaw Familiar",3,2.5,0.3559026084010437
"Halana, Kessig Ranger",2,2.5,0.5
Sakashima of a Thousand Faces,5,2.46,0.4673328578219169
Court of Grace,52,2.4269230769230767,0.43195235875810006
"Toggo, Goblin Weaponsmith",2,2.4000000000000004,0.30000000000000004
"Reyav, Master Smith",1,2.4,0.0
"Belbe, Corrupted Observer",2,2.4,0.6
Laboratory Drudge,1,2.4,0.0
Guildless Commons,1,2.4,0.0
"Bell Borca, Spectral Sergeant",2,2.4,0.3999999999999999
Three Visits,6,2.4,0.7302967433402214
Hullbreacher,35,2.3857142857142857,0.37043824019115307
Keeper of the Accord,3,2.3666666666666667,0.3299831645537221
Sakashima's Protege,2,2.35,0.65
"Alena, Kessig Trapper",2,2.35,0.25
"Malcolm, Keen-Eyed Navigator",2,2.35,0.65
"Jeska, Thrice Reborn",2,2.35,0.1499999999999999
Fall from Favor,40,2.3475000000000006,0.5171979795010804
Opposition Agent,28,2.3107142857142855,0.4600770787241491
"Keskit, the Flesh Sculptor",1,2.3,0.0
Promise of Tomorrow,4,2.3,0.458257569495584
The Prismatic Piper,1,2.3,0.0
"Dargo, the Shipwrecker",3,2.266666666666667,0.12472191289246463
Yurlok of Scorch Thrash,2,2.25,0.75
Kodama of the East Tree,4,2.225,0.3269174207655506
Nadier's Nightblade,1,2.2,0.0
"Liesa, Shroud of Dusk",4,2.2,0.3535533905932738
Rakshasa Debaser,4,2.175,0.4380353866983807
War Room,4,2.175,0.7292976072907411
Archon of Coronation,10,2.17,0.328785644455472
"Nevinyrral, Urborg Tyrant",3,2.1666666666666665,0.8498365855987975
"Kamahl, Heart of Krosa",8,2.1625,0.2689679348918752
"Nadier, Agent of the Duskenel",2,2.1500000000000004,0.050000000000000044
Hans Eriksson,2,2.15,0.1499999999999999
Ghost of Ramirez DePietro,2,2.15,0.85
"Nymris, Oona's Trickster",2,2.15,0.25
Armored Skyhunter,5,2.1399999999999997,0.5817215828899595
Phyrexian Triniform,3,2.1333333333333333,0.41899350299921795
Wheel of Misfortune,17,2.1176470588235294,0.6732146708737003
Jeska's Will,2,2.1,0.6000000000000001
"Siani, Eye of the Storm",1,2.1,0.0
"Juri, Master of the Revue",2,2.1,0.29999999999999993
"Akroma, Vision of Ixidor",2,2.1,0.10000000000000009
Court of Cunning,19,2.0999999999999996,0.45073040138961346
Sweet-Gum Recluse,13,2.076923076923077,0.48856752332924364
"Tormod, the Desecrator",6,2.0500000000000003,0.8597480251019287
"Aesi, Tyrant of Gyre Strait",2,2.05,0.050000000000000044
"Falthis, Shadowcat Familiar",2,2.05,0.95
Magus of the Order,20,2.035,0.5424711973920826
Elvish Dreadlord,2,2.0,0.20000000000000007
