Card,Number,Average Rating,Rating Stdev
Grimdancer,12,2.5416666666666665,0.43100335136619167
Bastion of Remembrance,10,2.275,0.7284401142166732
Sprite Dragon,9,2.7222222222222223,0.415739709641549
Void Beckoner,8,1.6875,0.6584783595532961
Weaponize the Monsters,8,2.21875,0.5219779090153146
Ram Through,8,2.375,0.5448623679425842
Neutralize,7,2.0,0.5976143046671968
Titanoth Rex,6,2.2916666666666665,0.46584749531245623
Heartless Act,6,2.75,0.3818813079129867
Forbidden Friendship,6,1.9166666666666667,0.6066758241067098
Skull Prophet,6,2.2916666666666665,0.6833841444523635
Splendor Mare,6,1.8333333333333333,0.6871842709362768
Reconnaissance Mission,6,2.0,0.816496580927726
Flame Spill,6,2.4166666666666665,0.731247032282677
Boon of the Wish-Giver,5,1.9,0.4898979485566356
Jubilant Skybonder,5,2.1,0.4898979485566356
Hornbash Mentor,5,1.2,0.2449489742783178
Excavation Mole,5,1.75,0.5916079783099616
Wilt,4,2.75,0.4330127018922193
Swallow Whole,4,1.75,0.82915619758885
Ominous Seas,4,2.125,0.649519052838329
Proud Wildbonder,3,1.8333333333333333,0.23570226039551584
Cavern Whisperer,3,1.8333333333333333,0.23570226039551584
Migration Path,3,2.1666666666666665,0.6236095644623235
Valiant Rescuer,3,1.3333333333333333,0.4714045207910317
Wingspan Mentor,3,1.6666666666666667,0.23570226039551584
Fight as One,2,1.5,0.5
Flourishing Fox,2,1.5,0.5
Boneyard Lurker,2,1.5,0.5
Necropanther,2,1.0,0.0
Parcelbeast,2,2.25,0.25
Easy Prey,2,1.0,0.0
Of One Mind,2,1.125,0.125
Will of the All-Hunter,2,1.75,0.25
Frostveil Ambush,2,1.75,0.25
Sanctuary Smasher,2,2.0,0.0
Charge of the Forever-Beast,2,1.5,0.0
Ketria Triome,1,3.0,0.0
Sonorous Howlbonder,1,2.0,0.0
Call of the Death-Dweller,1,1.0,0.0
Archipelagore,1,3.0,0.0
Back for More,1,1.5,0.0
Blitz of the Thunder-Raptor,1,2.0,0.0
Momentum Rumbler,1,1.75,0.0
Auspicious Starrix,1,2.0,0.0
Primal Empathy,1,2.0,0.0
Savai Triome,1,3.0,0.0
Regal Leosaur,1,2.0,0.0
Spelleater Wolverine,1,1.0,0.0
Raugrin Triome,1,3.0,0.0
Gust of Wind,1,2.5,0.0
Clash of Titans,1,1.0,0.0
Indatha Triome,1,3.0,0.0
Memory Leak,1,2.0,0.0
Drannith Healer,1,2.0,0.0
Frillscare Mentor,1,2.0,0.0
Vulpikeet,1,1.0,0.0
Footfall Crater,1,2.0,0.0
Drannith Stinger,1,2.0,0.0
Almighty Brushwagg,1,1.0,0.0
Zagoth Triome,1,3.0,0.0
Fire Prophecy,1,1.0,0.0
Dreamtail Heron,1,2.0,0.0
Go for Blood,1,2.0,0.0
Duskfang Mentor,1,2.0,0.0
Pouncing Shoreshark,1,1.0,0.0
Lore Drakkis,1,2.0,0.0
