name,testers,averageRating,rankingStDev
Elderfang Disciple,1,3.0,0.0
Bound in Gold,2,3.0,0.0
Karfell Harbinger,1,2.7,0.0
Bind the Monster,6,2.6166666666666667,0.44503433076062293
Horizon Seeker,1,2.6,0.0
Shackles of Treachery,3,2.533333333333333,0.6599663291074443
Behold the Multiverse,8,2.5124999999999997,0.4833153732295302
Pilfering Hawk,1,2.5,0.0
Cinderheart Giant,1,2.5,0.0
Rimewood Falls,1,2.4,0.0
Highland Forest,1,2.4,0.0
Sulfurous Mire,1,2.4,0.0
Woodland Chasm,1,2.4,0.0
Ice Tunnel,1,2.4,0.0
Alpine Meadow,1,2.4,0.0
Arctic Treeline,1,2.4,0.0
Glacial Floodplain,1,2.4,0.0
Volatile Fjord,1,2.4,0.0
Snowfield Sinkhole,1,2.4,0.0
Skull Raid,2,2.35,0.3500000000000001
Vault Robber,2,2.35,0.3500000000000001
Codespell Cleric,3,2.3333333333333335,0.23570226039551584
Snakeskin Veil,6,2.3166666666666664,0.6517071598672384
Run Ashore,1,2.3,0.0
Tuskeri Firewalker,6,2.2833333333333337,0.49131343243278924
Jaspera Sentinel,1,2.2,0.0
Stalwart Valkyrie,4,2.2,0.19999999999999996
Ravenform,7,2.1999999999999997,0.6117889458675386
Shimmerdrift Vale,5,2.14,0.24979991993593598
Sarulf's Packmate,6,2.1333333333333333,0.4068851871911235
Augury Raven,4,2.1,0.4301162633521314
Mammoth Growth,1,2.1,0.0
Immersturm Raider,1,2.1,0.0
Goldvein Pick,1,2.1,0.0
Masked Vandal,6,2.0666666666666664,0.5587684871413403
Funeral Longboat,3,2.033333333333333,0.047140452079103216
Hagi Mob,1,2.0,0.0
Brinebarrow Intruder,1,2.0,0.0
Battlefield Raptor,2,2.0,0.0
Frost Bite,1,2.0,0.0
Starnheim Courser,2,1.9,0.3999999999999999
Breakneck Berserker,1,1.9,0.0
Tormentor's Helm,2,1.85,0.15000000000000002
Jarl of the Forsaken,1,1.8,0.0
Duskwielder,1,1.8,0.0
Mistwalker,1,1.8,0.0
Raven Wings,1,1.7,0.0
Seize the Spoils,1,1.7,0.0
Raise the Draugr,1,1.5,0.0
Open the Omenpaths,1,1.5,0.0
Infernal Pet,1,1.5,0.0
Draugr Recruiter,1,1.5,0.0
Scorn Effigy,1,1.5,0.0
Berg Strider,1,1.5,0.0
Weigh Down,3,1.5,0.3741657386773941
Gods' Hall Guardian,1,1.4,0.0
Fearless Pup,2,1.4,0.4
Wings of the Cosmos,1,1.4,0.0
Karfell Kennel-Master,1,1.3,0.0
Axgard Braggart,1,1.3,0.0
Demonic Gifts,1,1.0,0.0
