name,testers,averageRating,rankingStDev
Avalanche Caller,1,3.0,0.0
Hengegate Pathway // Mistgate Pathway,1,2.8,0.0
Funeral Longboat,1,2.8,0.0
Blightstep Pathway // Searstep Pathway,1,2.8,0.0
Barkchannel Pathway // Tidechannel Pathway,1,2.8,0.0
Darkbore Pathway // Slitherbore Pathway,1,2.8,0.0
Usher of the Fallen,26,2.707692307692308,0.3740866589473178
Starnheim Courser,1,2.7,0.0
Mistwalker,1,2.5,0.0
Warchanter Skald,1,2.5,0.0
"Harald, King of Skemfar",1,2.5,0.0
Elven Ambush,1,2.5,0.0
Poison the Cup,9,2.466666666666667,0.6271629240742259
"Koll, the Forgemaster",4,2.425,0.4380353866983808
Rampage of the Valkyries,1,2.4,0.0
Masked Vandal,4,2.4,0.33911649915626335
Blizzard Brawl,2,2.4,0.3999999999999999
Youthful Valkyrie,1,2.4,0.0
Arni Slays the Troll,3,2.3666666666666667,0.5557777333511021
Stalwart Valkyrie,3,2.3666666666666667,0.6342099196813483
"Maja, Bretagard Protector",8,2.3625000000000003,0.4580870550452174
"Svella, Ice Shaper",7,2.357142857142857,0.3697765458727081
Battlefield Raptor,2,2.35,0.3500000000000001
Shimmerdrift Vale,3,2.3333333333333335,0.4714045207910317
Bretagard Stronghold,6,2.3,0.408248290463863
Gnottvold Slumbermound,4,2.3,0.412310562561766
Great Hall of Starnheim,5,2.3,0.41952353926806063
Valkyrie's Sword,1,2.3,0.0
Bind the Monster,11,2.2818181818181817,0.4725524152133464
Surtland Frostpyre,4,2.275,0.43229041164476456
Dwarven Hammer,4,2.275,0.29474565306378997
Bound in Gold,3,2.2666666666666666,0.5557777333511021
Rune of Sustenance,2,2.25,0.25
Skemfar Elderhall,4,2.225,0.48153400710645555
Saw It Coming,6,2.216666666666667,0.43748015828022285
"Kardur, Doomscourge",5,2.2,0.4289522117905444
Horizon Seeker,1,2.2,0.0
Bloodsky Berserker,5,2.2,0.30983866769659335
Moritte of the Frost,3,2.2,0.32659863237109044
Gates of Istfell,6,2.183333333333333,0.46338129248192805
Crush the Weak,4,2.175,0.511737237261468
Shepherd of the Cosmos,3,2.1666666666666665,0.47842333648024415
Littjara Mirrorlake,8,2.15,0.5267826876426369
Basalt Ravager,2,2.15,0.25
Fall of the Impostor,4,2.15,0.38405728739343037
"Firja, Judge of Valor",3,2.1333333333333333,0.4496912521077347
Port of Karfell,9,2.1222222222222222,0.4340449996583247
Behold the Multiverse,9,2.1222222222222222,0.5286834334831253
Clarion Spirit,17,2.1117647058823534,0.5508094075632765
Tuskeri Firewalker,3,2.1,0.648074069840786
Demon Bolt,1,2.1,0.0
Vengeful Reaper,3,2.1,0.32659863237109044
Snakeskin Veil,13,2.1,0.4367713712793351
Guardian Gladewalker,1,2.1,0.0
Rune of Speed,2,2.1,0.10000000000000009
Kardur's Vicious Return,7,2.0714285714285716,0.43985155195258996
Binding the Old Gods,7,2.042857142857143,0.36977654587270814
Bloodline Pretender,3,2.033333333333333,0.047140452079103216
Feed the Serpent,4,2.025,0.6647367900154165
Ravenform,5,2.02,0.23999999999999994
Ascent of the Worthy,1,2.0,0.0
Valor of the Worthy,1,2.0,0.0
Codespell Cleric,1,2.0,0.0
Snowfield Sinkhole,2,2.0,0.7999999999999999
Boreal Outrider,1,2.0,0.0
Karfell Harbinger,1,2.0,0.0
Shackles of Treachery,1,2.0,0.0
Vault Robber,1,2.0,0.0
Elderfang Disciple,1,2.0,0.0
Thornmantle Striker,1,2.0,0.0
The Trickster-God's Heist,1,2.0,0.0
Immersturm Raider,1,2.0,0.0
Axgard Armory,3,2.0,0.816496580927726
Fearless Liberator,1,2.0,0.0
Goldvein Pick,4,2.0,0.7035623639735145
Spectral Steel,2,2.0,0.7000000000000001
Rune of Might,1,2.0,0.0
Immersturm Skullcairn,5,1.9600000000000002,0.5851495535331118
Battershield Warrior,3,1.9333333333333333,0.09428090415820632
Elderfang Ritualist,1,1.9,0.0
Kaya's Onslaught,3,1.8666666666666665,0.4988876515698588
Seize the Spoils,2,1.85,0.15000000000000002
Arctic Treeline,3,1.8333333333333333,0.6944222218666553
Ice Tunnel,3,1.8333333333333333,0.6944222218666553
Volatile Fjord,3,1.8333333333333333,0.6944222218666553
Woodland Chasm,3,1.8333333333333333,0.6944222218666553
Glacial Floodplain,3,1.8333333333333333,0.6944222218666553
Rimewood Falls,3,1.8333333333333333,0.6944222218666553
Highland Forest,3,1.8333333333333333,0.6944222218666553
Struggle for Skemfar,1,1.8,0.0
Raiders' Karve,2,1.8,0.30000000000000004
Axgard Cavalry,1,1.8,0.0
Giant's Amulet,4,1.775,0.6098155458825234
Dual Strike,4,1.75,0.36400549446402597
Wings of the Cosmos,2,1.75,0.25
"Aegar, the Freezing Flame",4,1.75,0.4716990566028302
Sarulf's Packmate,3,1.7,0.29439202887759486
Tergrid's Shadow,3,1.7,0.24494897427831785
Arachnoform,1,1.7,0.0
Axgard Braggart,1,1.7,0.0
Doomskar Titan,1,1.7,0.0
Tormentor's Helm,6,1.616666666666667,0.49469406932186105
Ravenous Lindwurm,1,1.6,0.0
Armed and Armored,1,1.6,0.0
Smashing Success,1,1.6,0.0
Sulfurous Mire,3,1.5666666666666667,0.32998316455372223
Alpine Meadow,3,1.5666666666666667,0.32998316455372223
Replicating Ring,1,1.5,0.0
Elven Bow,1,1.5,0.0
Divine Gambit,1,1.5,0.0
Raven Wings,1,1.5,0.0
Path to the World Tree,4,1.5,0.4949747468305832
Skemfar Shadowsage,2,1.45,0.050000000000000044
Jaspera Sentinel,1,1.4,0.0
Augury Raven,1,1.4,0.0
Rootless Yew,1,1.4,0.0
Skull Raid,1,1.4,0.0
"Fynn, the Fangbearer",3,1.3666666666666665,0.047140452079103105
Jarl of the Forsaken,1,1.3,0.0
Roots of Wisdom,1,1.3,0.0
Open the Omenpaths,1,1.2,0.0
Cinderheart Giant,1,1.2,0.0
Inga Rune-Eyes,2,1.15,0.15000000000000002
Draugr's Helm,1,1.0,0.0
