name,testers,averageRating,rankingStDev
Heartfire Immolator,7,2.8285714285714287,0.24327694808466288
Vryn Wingmare,1,2.7,0.0
Experimental Overload,2,2.65,0.3500000000000001
Sanguine Indulgence,1,2.6,0.0
Village Rites,2,2.5,0.5
Wildwood Scourge,1,2.5,0.0
Twinblade Assassins,1,2.5,0.0
Indulging Patrician,1,2.5,0.0
Llanowar Visionary,3,2.433333333333333,0.3299831645537221
Eliminate,3,2.4,0.14142135623730942
Silversmote Ghoul,1,2.4,0.0
Waker of Waves,3,2.3666666666666667,0.6342099196813483
Seasoned Hallowblade,4,2.325,0.26809513236909027
Conclave Mentor,2,2.25,0.25
Malefic Scythe,2,2.25,0.25
Obsessive Stitcher,2,2.2,0.19999999999999996
Bolt Hound,4,2.125,0.29474565306378986
Shipwreck Dowser,5,2.04,0.5851495535331118
Garruk's Uprising,1,2.0,0.0
Griffin Aerie,1,2.0,0.0
Watcher of the Spheres,2,2.0,0.0
Track Down,1,2.0,0.0
Basri's Acolyte,1,2.0,0.0
Carrion Grub,1,2.0,0.0
Goremand,3,1.9666666666666668,0.5557777333511023
Liliana's Devotee,3,1.9666666666666668,0.36817870057290863
Quirion Dryad,2,1.9500000000000002,0.2500000000000001
Lofty Denial,1,1.8,0.0
Kinetic Augur,2,1.75,0.25
Mistral Singer,1,1.7,0.0
Pridemalkin,1,1.5,0.0
Tide Skimmer,1,1.5,0.0
Spined Megalodon,1,1.5,0.0
Crypt Lurker,1,1.5,0.0
Sabertooth Mauler,1,1.5,0.0
Chandra's Magmutt,1,1.3,0.0
Trufflesnout,1,1.2,0.0
Basri's Solidarity,1,1.2,0.0
Warden of the Woods,2,1.1,0.09999999999999998
Pestilent Haze,1,1.0,0.0
