name,testers,averageRating,rankingStDev
Brash Taunter,1,3.0,0.0
Indulging Patrician,2,2.8,0.19999999999999996
Chromatic Orrery,1,2.8,0.0
"Ugin, the Spirit Dragon",1,2.5,0.0
Massacre Wurm,1,2.5,0.0
Swift Response,1,2.5,0.0
"Mangara, the Diplomat",2,2.45,0.55
Seasoned Hallowblade,54,2.4481481481481477,0.4825628881452541
"Barrin, Tolarian Archmage",60,2.436666666666666,0.5627215613032395
Chandra's Incinerator,1,2.4,0.0
Cultivate,1,2.4,0.0
"Garruk, Unleashed",36,2.3916666666666666,0.537160745649444
Waker of Waves,25,2.352,0.5448816385234503
Eliminate,47,2.317021276595745,0.5443399864275105
Heartfire Immolator,67,2.308955223880597,0.5139055442811066
Volcanic Salvo,1,2.3,0.0
Kinetic Augur,1,2.3,0.0
Silversmote Ghoul,2,2.3,0.09999999999999987
Selfless Savior,2,2.25,0.75
"Gadrak, the Crown-Scourge",2,2.25,0.25
Demonic Embrace,5,2.2399999999999998,0.3720215047547654
Primal Might,3,2.2333333333333334,0.20548046676563253
Solemn Simulacrum,2,2.2,0.5000000000000001
Griffin Aerie,3,2.1999999999999997,0.14142135623730942
"Vito, Thorn of the Dusk Rose",6,2.183333333333333,0.46696419087073
Stormwing Entity,19,2.1789473684210527,0.4467177931352199
Shacklegeist,2,2.15,0.35
Terror of the Peaks,8,2.1374999999999997,0.42112201319807546
Sublime Epiphany,12,2.1333333333333333,0.4365266951236266
Liliana's Devotee,4,2.125,0.34186985827943367
Village Rites,7,2.1,0.7091242083423346
Pestilent Haze,5,2.0799999999999996,0.577581163127746
Experimental Overload,3,2.066666666666667,0.3299831645537222
Basri Ket,24,2.0541666666666667,0.4725631938928615
Double Vision,2,2.05,0.55
"Subira, Tulzidi Caravanner",9,2.0444444444444443,0.2793290019994786
"Jolrael, Mwonvuli Recluse",7,2.042857142857143,0.5703561365050609
Mazemind Tome,12,2.025,0.5356071321407138
Llanowar Visionary,27,2.022222222222222,0.5995883361436462
Obsessive Stitcher,5,2.02,0.5491812087098392
Vryn Wingmare,1,2.0,0.0
"Radha, Heart of Keld",16,2.0,0.5408326913195983
Soul Sear,2,2.0,1.0
Leafkin Avenger,1,2.0,0.0
"Teferi, Master of Time",20,1.9950000000000003,0.4532935031522071
Basri's Lieutenant,18,1.9944444444444445,0.4020395533640139
Miscast,4,1.975,0.5760859310901456
Shipwreck Dowser,6,1.95,0.3862210075418822
Transmogrify,2,1.95,0.050000000000000044
Elder Gargaroth,21,1.9238095238095236,0.48590099119329894
Liliana's Standard Bearer,3,1.9000000000000001,0.14142135623730953
Rambunctious Mutt,1,1.9,0.0
Pack Leader,2,1.9,0.09999999999999998
Liliana's Steward,1,1.9,0.0
Teferi's Ageless Insight,1,1.9,0.0
Conclave Mentor,3,1.8666666666666665,0.26246692913372704
"Liliana, Waker of the Dead",16,1.85625,0.6010082674140181
Sanctum of Stone Fangs,2,1.85,0.15000000000000002
Angelic Ascension,6,1.7666666666666668,0.49553562491061687
Malefic Scythe,5,1.7600000000000002,0.6711184694225006
Sanctum of Calm Waters,2,1.75,0.050000000000000044
Hobblefiend,2,1.75,0.25
Sanctum of All,1,1.7,0.0
Track Down,1,1.7,0.0
Ghostly Pilferer,21,1.695238095238095,0.5550428473174631
Garruk's Harbinger,13,1.6692307692307695,0.3313947573621233
Conspicuous Snoop,3,1.6666666666666667,0.6236095644623235
Witch's Cauldron,2,1.65,0.35
Watcher of the Spheres,2,1.65,0.35
Idol of Endurance,2,1.65,0.6499999999999999
See the Truth,11,1.6272727272727274,0.4937627496000098
Goblin Wizardry,2,1.6,0.09999999999999998
Burlfist Oak,2,1.6,0.09999999999999998
Fungal Rebirth,2,1.5499999999999998,0.15000000000000002
"Chandra, Heart of Fire",4,1.525,0.3561951712193752
Sparkhunter Masticore,4,1.5,0.6123724356957945
Bolt Hound,1,1.5,0.0
Sanctum of Tranquil Light,1,1.3,0.0
Thieves' Guild Enforcer,2,1.25,0.25
Archfiend's Vessel,1,1.2,0.0
Daybreak Charger,1,1.0,0.0
Hooded Blightfang,1,1.0,0.0
Carrion Grub,1,1.0,0.0
