cubeType	name	testers	averageRating	rankingStDev
Pauper	Abundant Harvest	9	2.511	0.653
Pauper	Arcbound Mouser	1	1.5	0
Pauper	Arcbound Slasher	3	1.9	0.794
Pauper	Arcbound Tracker	4	1.925	0.608
Pauper	Arcus Acolyte	1	1	0
Pauper	Bannerhide Krushok	12	2.625	0.501
Pauper	Battle Plan	1	2.2	0
Pauper	Blacksmith's Skill	2	1.2	0
Pauper	Bone Shards	3	1.533	0.551
Pauper	Bottle Golems	4	2	0.707
Pauper	Break Ties	5	1.92	0.507
Pauper	Breathless Knight	5	1.6	0.381
Pauper	Cabal Initiate	3	1.667	0.764
Pauper	Captured by Lagacs	9	2.222	0.622
Pauper	Chatterstorm	3	1.867	0.808
Pauper	Chrome Courier	1	2	0
Pauper	Deepwood Denizen	5	1.64	0.351
Pauper	Dihada's Ploy	3	2.133	0.503
Pauper	Discerning Taste	2	1.95	0.354
Pauper	Disciple of the Sun	5	1.84	0.422
Pauper	Drey Keeper	6	2.2	0.369
Pauper	Duskshell Crawler	5	1.38	0.522
Pauper	Etherium Spinner	10	1.69	0.555
Pauper	Fairgrounds Patrol	2	1.5	0
Pauper	Faithless Salvaging	2	1.35	0.495
Pauper	Floodhound	4	1.95	0.412
Pauper	Flourishing Strike	5	1.94	0.72
Pauper	Fodder Tosser	1	1.2	0
Pauper	Foul Watcher	2	1.75	0.354
Pauper	Foundry Helix	1	1.5	0
Pauper	Funnel-Web Recluse	2	1.6	0.424
Pauper	Galvanic Relay	1	1.7	0
Pauper	Gargadon	8	1.862	0.588
Pauper	Glimmer Bairn	4	1.975	0.685
Pauper	Goblin Anarchomancer	7	1.929	0.423
Pauper	Guardian Kirin	2	1.85	0.212
Pauper	Hard Evidence	10	2.16	0.606
Pauper	Hell Mongrel	3	1.633	0.551
Pauper	Jade Avenger	4	1.625	0.568
Pauper	Jewel-Eyed Cobra	1	2	0
Pauper	Kitchen Imp	2	1.6	0.566
Pauper	Knighted Myr	5	2	0.381
Pauper	Late to Dinner	4	2.1	0.548
Pauper	Lazotep Chancellor	1	1	0
Pauper	Lightning Spear	5	2.06	0.639
Pauper	Loathsome Curator	7	2.1	0.619
Pauper	Lose Focus	7	2.386	0.634
Pauper	Marble Gargoyle	1	1.2	0
Pauper	Mental Journey	5	2.18	0.61
Pauper	Mine Collapse	3	1.633	0.651
Pauper	Mount Velus Manticore	1	2	0
Pauper	Myr Scrapling	3	1.167	0.153
Pauper	Nested Shambler	10	2.05	0.628
Pauper	Orchard Strider	3	2.033	0.404
Pauper	Ornithopter of Paradise	8	2.1	0.607
Pauper	Parcel Myr	1	1.3	0
Pauper	Phantasmal Dreadmaw	6	1.533	0.739
Pauper	Piercing Rays	5	2.3	0.324
Pauper	Rakdos Headliner	1	1.5	0
Pauper	Revolutionist	1	2	0
Pauper	Rift Sower	5	1.5	0.354
Pauper	Shattered Ego	1	1	0
Pauper	Sinister Starfish	6	2.133	0.728
