name,testers,averageRating,rankingStDev
Owlin Shieldmage,1,3,0
"Quintorius, Field Historian",1,3,0
Quandrix Campus,5,2.78,0.193907194
Prismari Campus,5,2.74,0.224499443
Thrilling Discovery,1,2.7,0
Square Up,1,2.7,0
Witherbloom Campus,5,2.64,0.372021505
Lorehold Campus,5,2.64,0.372021505
Silverquill Campus,5,2.64,0.372021505
Frost Trickster,7,2.542857143,0.652154983
Star Pupil,1,2.5,0
Teach by Example,2,2.4,0.1
Needlethorn Drake,1,2.3,0
Lash of Malice,4,2.25,0.415331193
Bury in Books,2,2.25,0.25
Make Your Mark,1,2.2,0
Unwilling Ingredient,3,2.1,0.637704216
Pillardrop Rescuer,2,2.1,0.5
Quandrix Pledgemage,2,2.05,0.25
Infuse with Vitality,3,2.033333333,0.329983165
Expel,1,2,0
Resculpt,1,2,0
Defend the Campus,1,2,0
Bayou Groff,6,1.95,0.434932945
Serpentine Curve,1,1.9,0
Fuming Effigy,1,1.9,0
Curate,2,1.9,0.4
Pilgrim of the Ages,3,1.833333333,0.23570226
Letter of Acceptance,2,1.75,0.25
First Day of Class,2,1.75,0.25
Combat Professor,4,1.7,0.324037035
Moldering Karok,2,1.7,0.6
Elemental Masterpiece,2,1.65,0.15
Blood Researcher,1,1.6,0
Lorehold Pledgemage,1,1.5,0
Expanded Anatomy,1,1.5,0
Eureka Moment,2,1.5,0.5
Tome Shredder,2,1.45,0.35
Beaming Defiance,1,1.4,0
Excavated Wall,1,1,0
Professor of Zoomancy,1,1,0
Reconstruct History,1,1,0
Cogwork Archivist,1,1,0
Lorehold Excavation,1,1,0
Illustrious Historian,1,1,0
