name,testers,averageRating,rankingStDev
Stonebinder's Familiar,1,2.8,0
Decisive Denial,3,2.733333333,0.205480467
Lorehold Campus,3,2.666666667,0.471404521
Quandrix Campus,3,2.666666667,0.471404521
Prismari Campus,3,2.666666667,0.471404521
Witherbloom Campus,3,2.666666667,0.471404521
Silverquill Campus,3,2.666666667,0.471404521
"Rootha, Mercurial Artist",1,2.6,0
Rip Apart,6,2.583333333,0.37155828
Frost Trickster,13,2.538461538,0.456640679
"Quintorius, Field Historian",3,2.533333333,0.410960934
Mage Hunters' Onslaught,1,2.5,0
Mage Duel,1,2.5,0
Illustrious Historian,1,2.5,0
Infuse with Vitality,1,2.5,0
Tend the Pests,1,2.5,0
Symmetry Sage,1,2.5,0
Quandrix Pledgemage,1,2.5,0
Zephyr Boots,10,2.44,0.412795349
Reconstruct History,5,2.44,0.326190129
Expressive Iteration,4,2.4,0.122474487
Team Pennant,1,2.4,0
Prismari Apprentice,1,2.4,0
Elemental Masterpiece,2,2.4,0.1
Curate,8,2.3875,0.467540105
"Killian, Ink Duelist",9,2.377777778,0.543195847
Kelpie Guide,2,2.35,0.35
Teach by Example,2,2.3,0.3
Maelstrom Muse,1,2.3,0
Exhilarating Elocution,1,2.3,0
Fracture,1,2.3,0
"Zimone, Quandrix Prodigy",5,2.26,0.42708313
Tenured Inkcaster,3,2.233333333,0.205480467
Master Symmetrist,4,2.225,0.460298816
Bookwurm,6,2.216666667,0.437480158
Quandrix Apprentice,4,2.2,0.412310563
Mortality Spear,4,2.2,0.463680925
Letter of Acceptance,2,2.15,0.55
Witherbloom Apprentice,2,2.15,0.35
Umbral Juke,2,2.1,0.5
Biblioplex Assistant,2,2.1,0.1
Shadewing Laureate,1,2.1,0
Mage Hunter,2,2.05,0.45
Bayou Groff,1,2,0
Returned Pastcaller,1,2,0
Thrilling Discovery,1,2,0
Clever Lumimancer,4,2,0.353553391
Make Your Mark,1,2,0
Pigment Storm,1,2,0
Show of Confidence,2,2,0.5
Spirit Summoning,1,2,0
Aether Helix,1,2,0
Eager First-Year,2,2,0.5
Pest Summoning,1,2,0
Lorehold Pledgemage,2,2,0.5
Dueling Coach,1,2,0
Devouring Tendrils,2,2,0.5
Study Break,1,2,0
First Day of Class,1,2,0
Quandrix Cultivator,3,1.933333333,0.094280904
Lash of Malice,4,1.925,0.129903811
Plumb the Forbidden,6,1.916666667,0.656802017
Unwilling Ingredient,3,1.9,0.535412613
Lorehold Excavation,3,1.866666667,0.262466929
Thunderous Orator,5,1.86,0.585149554
Flunk,3,1.833333333,0.449691252
Daemogoth Woe-Eater,3,1.833333333,0.262466929
Storm-Kiln Artist,5,1.82,0.624179461
Deadly Brew,7,1.8,0.507092553
Closing Statement,2,1.8,0.1
Pilgrim of the Ages,4,1.775,0.454835135
Professor of Symbology,2,1.75,0.25
Star Pupil,2,1.75,0.05
Emergent Sequence,5,1.72,0.511468474
Spiteful Squad,2,1.65,0.35
Reflective Golem,1,1.5,0
Eyetwitch,1,1.5,0
Humiliate,1,1.5,0
Inkling Summoning,1,1.5,0
Explosive Welcome,1,1.5,0
Necrotic Fumes,1,1.5,0
Introduction to Annihilation,1,1.5,0
Introduction to Prophecy,1,1.5,0
Brackish Trudge,2,1.5,0.5
Practical Research,1,1.5,0
Sudden Breakthrough,1,1.5,0
Creative Outburst,2,1.5,0
Essence Infusion,1,1.4,0
Elemental Summoning,1,1.2,0
Professor of Zoomancy,1,1.2,0
Honor Troll,1,1.2,0
Ardent Dustspeaker,1,1,0
Spell Satchel,1,1,0
Karok Wrangler,1,1,0
