name,testers,averageRating,rankingStDev
Rise of Extus,1,3,0
Prismari Pledgemage,1,3,0
Teach by Example,1,3,0
Mortality Spear,3,3,0
Lorehold Pledgemage,1,3,0
Elemental Summoning,1,3,0
Silverquill Pledgemage,1,3,0
Inkling Summoning,2,2.75,0.25
Shineshadow Snarl,4,2.525,0.476313972
Abundant Harvest,57,2.519298246,0.438673677
Eureka Moment,2,2.5,0
Reduce to Memory,1,2.5,0
Lorehold Excavation,2,2.5,0.5
Furycalm Snarl,4,2.5,0.5
Excavated Wall,1,2.5,0
Elemental Expressionist,2,2.5,0.5
Academic Probation,1,2.5,0
Strixhaven Stadium,2,2.5,0.5
Spirit Summoning,2,2.5,0.5
Vineglimmer Snarl,4,2.475,0.526189129
Necroblossom Snarl,4,2.475,0.526189129
Tempted by the Oriq,4,2.45,0.618465844
Elite Spellbinder,139,2.410071942,0.435856052
"Killian, Ink Duelist",11,2.409090909,0.516024216
Prismari Command,130,2.400769231,0.451407398
Witherbloom Pledgemage,2,2.4,0.6
Prismari Campus,2,2.4,0.4
Thrilling Discovery,2,2.4,0.6
Vanishing Verse,86,2.381395349,0.57131257
Draconic Intervention,4,2.375,0.449305019
Manifestation Sage,5,2.36,0.422374242
Rip Apart,105,2.358095238,0.476651206
Baleful Mastery,120,2.355833333,0.508723211
Quandrix Pledgemage,3,2.333333333,0.942809042
Pop Quiz,3,2.333333333,0.478423336
Mascot Exhibition,3,2.333333333,0.23570226
Daemogoth Woe-Eater,6,2.333333333,0.410960934
Introduction to Prophecy,3,2.333333333,0.23570226
Shadrix Silverquill,6,2.316666667,0.684145858
"Quintorius, Field Historian",3,2.3,0.21602469
Pest Summoning,2,2.3,0.7
Sedgemoor Witch,142,2.294366197,0.453433637
Decisive Denial,19,2.273684211,0.537873107
Symmetry Sage,12,2.258333333,0.606160503
Fractal Summoning,2,2.25,0.75
Gnarled Professor,4,2.25,0.433012702
Wandering Archaic // Explore the Vastlands,9,2.244444444,0.525168991
Containment Breach,3,2.233333333,0.524933858
Witherbloom Command,40,2.2075,0.517391293
Make Your Mark,5,2.2,0.748331477
Clever Lumimancer,21,2.2,0.701019666
Moldering Karok,1,2.2,0
Culmination of Studies,2,2.2,0.8
Bayou Groff,1,2.2,0
Biblioplex Assistant,1,2.2,0
Igneous Inspiration,3,2.2,0.588784058
Quandrix Command,40,2.19,0.470531614
Beledros Witherbloom,5,2.18,0.685273668
Frostboil Snarl,5,2.18,0.411825206
Dramatic Finale,4,2.175,0.491807889
Dragonsguard Elite,38,2.168421053,0.578157356
Closing Statement,3,2.166666667,0.38586123
Witherbloom Campus,2,2.15,0.45
Expanded Anatomy,4,2.125,0.216506351
Mage Duel,2,2.1,0.9
Selfless Glyphweaver // Deadly Vanity,2,2.1,0.4
Culling Ritual,12,2.091666667,0.528296529
Galazeth Prismari,22,2.090909091,0.578327597
Curate,37,2.086486486,0.534821093
Rushed Rebirth,7,2.085714286,0.579232427
Expressive Iteration,25,2.068,0.366300423
Ecological Appreciation,9,2.066666667,0.454606057
Silverquill Silencer,6,2.066666667,0.587839736
Velomachus Lorehold,14,2.064285714,0.54196355
