Card,Number,Average Rating,Average Stdev
Voracious Typhon,5,2.2,0.7483314773547882
Underworld Rage-Hound,4,1.75,0.4330127018922193
Daybreak Chimera,4,2.25,0.82915619758885
Underworld Charger,3,1.3333333333333333,0.4714045207910317
Omen of the Sun,3,1.5,0.408248290463863
Mire's Grasp,3,2.3333333333333335,0.4714045207910317
Naiad of Hidden Coves,3,1.6666666666666667,0.4714045207910317
Omen of the Sea,3,1.8333333333333333,0.6236095644623235
Pharika's Libation,3,2.0,0.816496580927726
Sentinel's Eyes,3,1.6666666666666667,0.4714045207910317
Hero of the Pride,2,1.0,0.0
Ichthyomorphosis,2,1.5,0.5
Lampad of Death's Vigil,2,2.0,0.0
Warbriar Blessing,2,2.5,0.5
Irreverent Revelers,2,2.5,0.5
Transcendent Envoy,2,1.5,0.5
Omen of the Dead,2,2.0,0.0
Blight-Breath Catoblepas,2,1.5,0.5
Vexing Gull,2,1.0,0.0
Omen of the Hunt,2,1.0,0.0
Indomitable Will,1,3.0,0.0
Elite Instructor,1,2.0,0.0
Rage-Scarred Berserker,1,2.0,0.0
Skophos Warleader,1,2.0,0.0
Incendiary Oracle,1,2.0,0.0
Thaumaturge's Familiar,1,2.0,0.0
Karametra's Blessing,1,3.0,0.0
Discordant Piper,1,3.0,0.0
Chain to Memory,1,2.0,0.0
Towering-Wave Mystic,1,3.0,0.0
Stampede Rider,1,3.0,0.0
Mogis's Favor,1,3.0,0.0
Dreadful Apathy,1,3.0,0.0
Fruit of Tizerus,1,3.0,0.0
Grim Physician,1,3.0,0.0
Final Flare,1,3.0,0.0
Portent of Betrayal,1,3.0,0.0
Moss Viper,1,3.0,0.0
Riptide Turtle,1,3.0,0.0
Wings of Hubris,1,2.0,0.0
Gift of Strength,1,3.0,0.0
Wrap in Flames,1,3.0,0.0
Arena Trickster,1,3.0,0.0
Acolyte of Affliction,1,3.0,0.0
Witness of Tomorrows,1,2.0,0.0
Ilysian Caryatid,1,2.0,0.0
Oread of Mountain's Blaze,1,2.0,0.0
Iroas's Blessing,1,1.0,0.0
Leonin of the Lost Pride,1,1.0,0.0
Thirst for Meaning,1,1.0,0.0
Omen of the Forge,1,1.0,0.0
Nylea's Forerunner,1,1.0,0.0
Funeral Rites,1,1.0,0.0
Mindwrack Harpy,1,1.0,0.0
Unknown Shores,1,1.0,0.0
Sleep of the Dead,1,1.0,0.0
Venomous Hierophant,1,1.0,0.0
Aspect of Lamprey,1,1.0,0.0
Aspect of Manticore,1,1.0,0.0
Nylea's Huntmaster,1,2.0,0.0
Glory Bearers,1,1.0,0.0
Hero of the Games,1,1.0,0.0
Loathsome Chimera,1,1.0,0.0
Sunmane Pegasus,1,1.0,0.0
Relentless Pursuit,1,2.0,0.0
Setessan Training,1,2.0,0.0
Starlit Mantle,1,2.0,0.0
Stern Dismissal,1,2.0,0.0
Flicker of Fate,1,2.0,0.0
Soulreaper of Mogis,1,2.0,0.0
"Renata, Called to the Hunt",1,2.0,0.0
