Card,Number,Average Rating,Average Stdev
Nadir Kraken,46,2.2717391304347827,0.631651748946419
Phoenix of Ash,41,2.317073170731707,0.48772865258100534
"Elspeth, Sun's Nemesis",38,2.4210526315789473,0.556378276628052
Woe Strider,34,2.0441176470588234,0.7511525170071843
Eidolon of Obstruction,31,1.8709677419354838,0.608643944003652
"Uro, Titan of Nature's Wrath",31,1.9435483870967742,0.7451717636465489
Shatter the Sky,27,2.425925925925926,0.5037581669902016
Agonizing Remorse,26,2.3173076923076925,0.6184568742648462
Thassa's Intervention,26,2.2403846153846154,0.5737895672244497
The First Iroan Games,26,2.1538461538461537,0.7816308243423683
"Ashiok, Nightmare Muse",26,2.5096153846153846,0.5023060725618836
Omen of the Sea,25,2.38,0.7652450587883596
Storm's Wrath,19,1.9210526315789473,0.6072621452218067
"Kroxa, Titan of Death's Hunger",17,1.5588235294117647,0.5111219763818461
Shadowspear,16,1.65625,0.7441175562369161
Tectonic Giant,16,1.6875,0.582961190818051
"Thassa, Deep-Dwelling",16,2.125,0.649519052838329
"Taranika, Akroan Veteran",14,1.5714285714285714,0.5624291338579865
Nightmare Shepherd,14,1.75,0.6196196990320526
"Anax, Hardened in the Forge",14,1.8571428571428572,0.6925256939166183
"Thryx, the Sudden Storm",13,1.75,0.6933752452815364
Wolfwillow Haven,13,2.4423076923076925,0.5202980484026417
Dryad of the Ilysian Grove,12,1.7916666666666667,0.6601241465731191
Erebos's Intervention,10,2.25,0.6422616289332564
"Alirios, Enraptured",10,2.05,0.6103277807866851
"Atris, Oracle of Half-Truths",10,2.1,0.5385164807134505
Satyr's Cunning,9,2.361111111111111,0.4267303193260338
Underworld Breach,9,2.2777777777777777,0.8534606386520676
"Klothys, God of Destiny",8,1.625,0.649519052838329
Mire Triton,8,2.0,0.6614378277661477
"Heliod, Sun-Crowned",8,2.0,0.5590169943749475
Eat to Extinction,8,2.0625,0.5266343608235224
Ilysian Caryatid,8,2.5625,0.6343057228182637
Elspeth Conquers Death,7,1.7857142857142858,0.7491491772643939
Purphoros's Intervention,7,2.1785714285714284,0.3462628469583093
Underworld Rage-Hound,7,1.9642857142857142,0.686978002202548
Irreverent Revelers,6,2.5,0.5773502691896257
Thassa's Oracle,6,2.0,0.5773502691896257
"Polukranos, Unchained",5,1.4,0.8000000000000002
Kiora Bests the Sea God,5,1.5,0.4472135954999579
Medomai's Prophecy,4,1.3125,0.2072890493972125
Elspeth's Nightmare,4,1.375,0.414578098794425
Underworld Charger,4,2.0,1.0606601717798212
Tymaret Calls the Dead,4,1.75,0.75
Whirlwind Denial,3,1.5,0.408248290463863
"Purphoros, Bronze-Blooded",3,2.1666666666666665,0.6236095644623235
"Renata, Called to the Hunt",3,1.6666666666666667,0.9428090415820634
Haktos the Unscarred,3,1.8333333333333333,0.23570226039551584
The Birth of Meletis,3,1.0,0.0
Careless Celebrant,3,1.5,0.816496580927726
"Callaphe, Beloved of the Sea",3,2.3333333333333335,0.4714045207910317
Arasta of the Endless Web,3,1.3333333333333333,0.8498365855987975
Setessan Champion,2,2.5,0.0
Mire's Grasp,2,2.25,0.25
Flicker of Fate,2,1.5,0.5
Daybreak Chimera,2,2.25,0.75
Lampad of Death's Vigil,2,1.5,0.0
Voracious Typhon,2,1.5,0.5
Chainweb Aracnir,2,2.0,1.0
"Aphemia, the Cacophony",2,1.25,0.75
Omen of the Sun,2,1.0,0.0
Mogis's Favor,2,1.5,0.5
Drag to the Underworld,2,1.25,0.25
Pharika's Spawn,2,2.0,1.0
Archon of Sun's Grace,2,1.75,0.75
Gravebreaker Lamia,2,1.5,0.5
Dream Trawler,2,2.0,0.0
Threnody Singer,2,1.25,0.25
Alseid of Life's Bounty,2,1.5,0.5
Glimpse of Freedom,2,2.0,0.0
Sleep of the Dead,1,1.0,0.0
Mantle of the Wolf,1,2.5,0.0
Birth of Melethis,1,1.5,0.0
"Kunoros, Hound of Athreos",1,1.0,0.0
"Daxos, Blessed by the Sun",1,3.0,0.0
Thirst for Meaning,1,2.0,0.0
Ox of Agonas,1,2.0,0.0
Return to Nature,1,1.0,0.0
Blight-Breath Catoblepas,1,1.0,0.0
Omen of the Dead,1,1.0,0.0
Leonin of the Lost Pride,1,1.0,0.0
Deny the Divine,1,1.0,0.0
Eidolon of Inspiration,1,2.0,0.0
Stinging Lionfish,1,3.0,0.0
