Card,Number,Average Rating,Ranking Stdev
Animating Faerie,1,1.0,0.0
Ardenvale Tactician,4,2.0,0.7071067811865476
Blacklance Paragon,9,2.111111111111111,0.7370277311900889
Bonecrusher Giant,25,2.8,0.39999999999999997
Brazen Borrower,23,2.652173913043478,0.5601782055097881
Castle Ardenvale,5,2.0,0.6324555320336759
Castle Embereth,7,1.8571428571428572,0.6388765649999399
Castle Garenbrig,2,1.75,0.25
Castle Lochtwain,5,1.6,0.8
Castle Vantress,5,2.2,0.39999999999999997
Charming Prince,20,2.45,0.6689544080129827
Clockwork Servant,1,1.0,0.0
Corridor Monitor,1,1.0,0.0
Drown in the Loch,1,2.0,0.0
Embercleave,1,2.0,0.0
Embereth Knight,1,3.0,0.0
Embereth Shieldbreaker,13,2.5384615384615383,0.7457969011409737
"Emry, Lurker of the Loch",1,1.0,0.0
Enchanted Carraige,1,1.0,0.0
Fabled Passage,14,2.7857142857142856,0.5578749768504754
Fae of Wishes,5,2.6,0.4898979485566356
Faerie Guidemother,7,1.8571428571428572,0.8329931278350429
Feasting Troll King,1,1.0,0.0
Fervent Champion,5,2.0,0.8944271909999159
Foulmire Knight,6,2.1666666666666665,0.6871842709362768
"Gadwick, the Wizened",8,2.25,0.6614378277661477
"Garruk, Cursed Huntsman",21,2.5476190476190474,0.6529194857524804
Giant Killer,14,2.0,0.9258200997725514
Gilded Goose,11,2.3636363636363638,0.6428243465332251
Gingerbrute,7,2.142857142857143,0.8329931278350429
Harmonious Archon,3,1.0,0.0
Heraldic Banner,1,2.0,0.0
Hushbringer,2,1.5,0.5
Hypnotic Sprite,13,2.0,0.9607689228305228
Irencrag Pyromancer,1,1.0,0.0
"Kenrith, the Returned King",1,1.0,0.0
"Korvold, Fae-Cursed King",1,2.0,0.0
Lochmere Serpent,1,1.0,0.0
Lovestruck Beast,4,1.75,0.4330127018922193
Merchant of the Vale,2,1.0,0.0
Midnight Clock,1,1.0,0.0
Mirrormade,1,1.0,0.0
Murderous Rider,24,2.9166666666666665,0.39965262694272663
Mystic Sanctuary,2,1.5,0.5
Oathsworn Knight,1,1.0,0.0
"Oko, Thief of Crowns",16,2.4375,0.7261843774138906
Once Upon a Time,17,2.3529411764705883,0.6809315825170721
Order of Midnight,17,2.235294117647059,0.8065476000471816
Outlaw's Merriment,1,2.0,0.0
Piper of the Swarm,3,1.3333333333333333,0.4714045207910317
Questing Beast,23,2.869565217391304,0.4476360930863913
"Rankle, Master of Pranks",19,2.289473684210526,0.6348598990428852
Realm-Cloaked Giant,11,2.727272727272727,0.4453617714151233
Rimrock Knight,8,2.125,0.7806247497997998
Robber of the Rich,20,2.1,0.7000000000000001
Shepherd of the Flock,3,1.0,0.0
Shimmer Dragon,1,1.0,0.0
Silverflame Squire,4,2.0,0.7071067811865476
Slaying Fire,2,1.5,0.5
Stonecoil Serpent,15,2.533333333333333,0.7180219742846006
"Syr Konrad, the Grim",1,1.0,0.0
The Great Henge,1,2.0,0.0
The Royal Scions,7,1.7142857142857142,0.6998542122237652
Thrill of Possibility,2,2.25,0.75
"Torbran, Thane of Red Fell",3,2.3333333333333335,0.4714045207910317
Vantress Gargoyle,3,1.0,0.0
Venerable Knight,12,2.4166666666666665,0.6400954789890507
Weaselback Redcap,1,3.0,0.0
Wicked Wolf,7,2.142857142857143,0.6388765649999399
Wildborn Preserver,9,2.0,0.816496580927726
Wishclaw Talisman,2,3.0,0.0
Witching Well,12,2.0833333333333335,0.6400954789890507
