Card,Number,Average Rating,Rating Stdev
Heartless Act,73,2.7260273972602738,0.4684651117140165
Shark Typhoon,61,2.3803278688524587,0.6580696241332928
"Vivien, Monsters' Advocate",56,2.4372727272727275,0.5245966573402481
Fiend Artisan,45,2.1288888888888886,0.5791266306439272
Luminous Broodmoth,44,2.1136363636363638,0.5395035213849645
Lurrus of the Dream-Den,44,2.4625,0.6419187324661192
Neutralize,42,2.1547619047619047,0.6568149630539868
Gemrazer,38,1.8105263157894735,0.5888389439728473
"Lutri, the Spellchaser",37,2.5405405405405403,0.7477748828246987
Ketria Triome,36,2.3625,0.5932929527457558
Zagoth Triome,36,2.3625,0.5932929527457558
Indatha Triome,35,2.315714285714286,0.595551536521451
Raugrin Triome,35,2.3442857142857143,0.5917011104279193
Savai Triome,34,2.398529411764706,0.5491283593271259
Voracious Greatshark,25,1.56,0.4758150901348127
"Kogla, the Titan Ape",25,1.6840000000000002,0.5296640444659237
Wilt,22,2.1363636363636362,0.725850882848696
Sprite Dragon,19,1.75,0.6334949009058275
Boon of the Wish-Giver,19,1.9210526315789473,0.5907880084379907
Sea-Dasher Octopus,14,1.625,0.673145600891813
Bastion of Remembrance,13,1.5,0.5801193511153214
Fire Prophecy,10,1.8,0.714142842854285
Crystalline Giant,9,1.6111111111111112,0.7370277311900889
"Kinnan, Bonder Prodigy",9,1.7999999999999998,0.49216076867444664
Call of the Death-Dweller,9,1.4444444444444444,0.6849348892187751
Titanoth Rex,9,1.6666666666666667,0.47140452079103173
"Winota, Joiner of Forces",8,1.5625,0.5266343608235224
Easy Prey,8,1.625,0.5448623679425842
"Yidaro, Wandering Monster",8,1.875,0.6959705453537527
Shredded Sails,7,1.5,0.4629100498862757
Mythos of Nethroi,7,1.7142857142857142,0.6998542122237652
Lavabrink Venturer,7,1.6428571428571428,0.6925256939166183
"Yorion, Sky Nomad",7,2.0,0.4629100498862757
Grimdancer,6,1.9166666666666667,0.731247032282677
"Rielle, the Everwise",6,1.8166666666666667,0.6335525936249404
Weaponize the Monsters,6,1.9166666666666667,0.6718548123582124
"Jegantha, the Wellspring",5,2.0,0.31622776601683794
Extinction Event,5,2.0,0.6324555320336759
Mythos of Illuna,5,1.8,0.6782329983125268
Ominous Seas,5,1.7,0.4
Light of Hope,5,2.0,0.6324555320336759
"Vadrok, Apex of Thunder",5,1.81,0.7644605941446558
The Ozolith,5,1.55,0.7810249675906654
Frostveil Ambush,5,1.6,0.58309518948453
Valiant Rescuer,5,2.1,0.19999999999999998
"Lukka, Coppercoat Outcast",4,1.875,0.5448623679425842
"Nethroi, Apex of Death",4,1.5625,0.5694020986965187
"Zirda, the Dawnwaker",4,1.875,0.21650635094610965
"Chevill, Bane of Monsters",4,1.6875,0.7781187248742958
Hunted Nightmare,4,1.375,0.414578098794425
Footfall Crater,4,1.0,0.0
"Illuna, Apex of Wishes",4,1.375,0.414578098794425
Serrated Scorpion,4,1.875,0.739509972887452
Splendor Mare,4,1.5,0.3535533905932738
"Brokkos, Apex of Forever",4,1.25,0.25
Dire Tactics,4,2.375,0.414578098794425
Labyrinth Raptor,4,1.875,0.739509972887452
Migration Path,4,1.375,0.414578098794425
Frondland Felidar,4,1.5,0.5
Forbidden Friendship,4,1.75,0.82915619758885
Reconnaissance Mission,3,1.5,0.7071067811865476
"Gyruda, Doom of Depths",3,2.1666666666666665,0.4714045207910317
Narset of the Ancient Way,3,1.6666666666666667,0.4714045207910317
Fight as One,3,2.1666666666666665,0.6236095644623235
Ram Through,3,1.5,0.408248290463863
Of One Mind,3,1.3333333333333333,0.4714045207910317
Jubilant Skybonder,3,1.0,0.0
Quartzwood Crasher,3,2.3333333333333335,0.4714045207910317
"Keruga, the Macrosage",3,2.0,0.408248290463863
Memory Leak,3,1.3333333333333333,0.23570226039551584
Mythos of Snapdax,3,1.3333333333333333,0.4714045207910317
