name,testers,averageRating,rankingStDev
"Inniaz, the Gale Force",1,3.0,0.0
Witch of the Moors,2,2.75,0.25
Allosaurus Shepherd,4,2.75,0.4330127018922193
Stone Haven Pilgrim,1,2.5,0.0
Scholar of the Lost Trove,3,2.3000000000000003,0.21602468994692867
Trusty Retriever,1,2.3,0.0
Corsair Captain,1,2.3,0.0
Spiteful Prankster,8,2.3,0.3708099243547831
Thriving Grove,4,2.275,0.42056509603151804
Thriving Isle,4,2.275,0.42056509603151804
Thriving Moor,4,2.275,0.42056509603151804
Thriving Heath,4,2.275,0.42056509603151804
Thriving Bluff,4,2.275,0.42056509603151804
Archaeomender,2,2.1,0.10000000000000009
Emiel the Blessed,8,2.0625,0.8513775601928911
Neyith of the Dire Hunt,2,2.05,0.050000000000000044
Blessed Sanctuary,1,2.0,0.0
Lightning Phoenix,4,1.85,0.7158910531638177
"Tinybones, Trinket Thief",3,1.8333333333333333,0.8498365855987975
"Kels, Fight Fixer",6,1.7833333333333332,0.4412734098291242
Branching Evolution,1,1.7,0.0
"Zurzoth, Chaos Rider",2,1.65,0.45000000000000007
Release the Dogs,1,1.5,0.0
Immolating Gyre,4,1.45,0.45552167895721496
"Sethron, Hurloon General",1,1.0,0.0
Bruvac the Grandiloquent,1,1.0,0.0
