name,testers,averageRating,rankingStDev
Village Rites,1,3.0,0.0
Craven Hulk,1,3.0,0.0
"Lathril, Blade of the Elves",1,3.0,0.0
Hero of Bretagard,1,2.9,0.0
Story Seeker,1,2.9,0.0
The Three Seasons,1,2.8,0.0
Usher of the Fallen,165,2.7599999999999993,0.35347624325469823
Wings of the Cosmos,1,2.7,0.0
"Fynn, the Fangbearer",1,2.7,0.0
Barkchannel Pathway // Tidechannel Pathway,50,2.6639999999999997,0.40878356131331894
Blightstep Pathway // Searstep Pathway,52,2.6634615384615383,0.41788333215138024
Hengegate Pathway // Mistgate Pathway,47,2.65531914893617,0.4360404581259403
Alpine Meadow,6,2.6333333333333333,0.45338235029118146
Darkbore Pathway // Slitherbore Pathway,47,2.6212765957446806,0.47844436311986904
Volatile Fjord,7,2.6142857142857143,0.4223355856884138
Rimewood Falls,7,2.6142857142857143,0.4223355856884138
Basalt Ravager,2,2.6,0.10000000000000009
Runed Crown,3,2.6,0.43204937989385733
Cleaving Reaper,1,2.6,0.0
Dwarven Hammer,2,2.5999999999999996,0.30000000000000004
Snowfield Sinkhole,7,2.5714285714285716,0.4462999814803802
Woodland Chasm,7,2.5714285714285716,0.4462999814803802
Draugr's Helm,2,2.5,0.3999999999999999
Highland Forest,8,2.4125,0.6641488914392616
Arctic Treeline,7,2.4,0.7091242083423347
Maskwood Nexus,4,2.4,0.5787918451395112
Wolverine Riders,1,2.4,0.0
Glacial Floodplain,7,2.4,0.7091242083423347
Pact of the Serpent,3,2.4,0.408248290463863
Giant's Amulet,5,2.38,0.3969886648255842
Sulfurous Mire,8,2.375,0.6666145812986691
Ice Tunnel,8,2.3625,0.6556247020971678
Bretagard Stronghold,5,2.3600000000000003,0.4841487374764082
Vengeful Reaper,2,2.35,0.1499999999999999
Boreal Outrider,3,2.3333333333333335,0.4642796092394706
Rune of Might,7,2.3000000000000003,0.6187545093630776
Skemfar Elderhall,3,2.3000000000000003,0.42426406871192845
Withercrown,1,2.3,0.0
King Narfi's Betrayal,8,2.3,0.5220153254455274
Stoic Farmer,1,2.3,0.0
Spectral Steel,1,2.3,0.0
Tundra Fumarole,4,2.3,0.5431390245600107
Realmwalker,6,2.3,0.5099019513592785
Doomskar,102,2.2754901960784317,0.45877848781767794
