name,testers,averageRating,rankingStDev
Village Rites,2,3.0,0.0
Llanowar Visionary,3,2.9,0.14142135623730942
Sabertooth Mauler,1,2.7,0.0
Hunter's Edge,1,2.7,0.0
Hobblefiend,3,2.6333333333333333,0.16996731711975951
Mistral Singer,1,2.5,0.0
Spined Megalodon,1,2.3,0.0
Daybreak Charger,3,2.2666666666666666,0.20548046676563253
Swift Response,4,2.25,0.5315072906367324
Valorous Steed,2,2.2,0.19999999999999996
Goblin Wizardry,3,2.1666666666666665,0.4988876515698589
Lofty Denial,1,2.1,0.0
Track Down,1,2.0,0.0
Roaming Ghostlight,2,2.0,0.0
Storm Caller,2,2.0,0.0
Anointed Chorister,1,2.0,0.0
Gloom Sower,1,2.0,0.0
Warded Battlements,1,2.0,0.0
Crypt Lurker,2,1.8,0.40000000000000013
Keen Glidemaster,1,1.8,0.0
Rousing Read,2,1.7999999999999998,0.09999999999999998
Basri's Acolyte,2,1.75,0.25
Trufflesnout,1,1.4,0.0
Forgotten Sentinel,1,1.4,0.0
Rise Again,1,1.4,0.0
