name,testers,averageRating,rankingStDev,mapLink
"Quintorius, Field Historian",1,3.0,0.0,/resources/cube-map/?cube=90x
Owlin Shieldmage,1,3.0,0.0,/resources/cube-map/?cube=
Quandrix Campus,5,2.7800000000000002,0.19390719429665312,/resources/cube-map/?cube=2as&cube=7a8
Prismari Campus,5,2.7399999999999998,0.22449944320643644,/resources/cube-map/?cube=2as&cube=7a8
Thrilling Discovery,1,2.7,0.0,/resources/cube-map/?cube=
Square Up,1,2.7,0.0,/resources/cube-map/?cube=
Lorehold Campus,5,2.6399999999999997,0.37202150475476553,/resources/cube-map/?cube=2as&cube=7a8
Witherbloom Campus,5,2.6399999999999997,0.37202150475476553,/resources/cube-map/?cube=2as&cube=7a8
Silverquill Campus,5,2.6399999999999997,0.37202150475476553,/resources/cube-map/?cube=2as&cube=7a8
Frost Trickster,7,2.542857142857143,0.6521549834579045,/resources/cube-map/?cube=2as&cube=7a8&cube=90x
Star Pupil,1,2.5,0.0,/resources/cube-map/?cube=
Teach by Example,2,2.4,0.10000000000000009,/resources/cube-map/?cube=
Needlethorn Drake,1,2.3,0.0,/resources/cube-map/?cube=
Bury in Books,2,2.25,0.25,/resources/cube-map/?cube=90x
Lash of Malice,4,2.25,0.41533119314590383,/resources/cube-map/?cube=2as
Make Your Mark,1,2.2,0.0,/resources/cube-map/?cube=
Unwilling Ingredient,3,2.1,0.6377042156569663,/resources/cube-map/?cube=
Pillardrop Rescuer,2,2.1,0.5,/resources/cube-map/?cube=
Quandrix Pledgemage,2,2.05,0.2499999999999999,/resources/cube-map/?cube=7a8
Infuse with Vitality,3,2.033333333333333,0.3299831645537222,/resources/cube-map/?cube=2as
Resculpt,1,2.0,0.0,/resources/cube-map/?cube=
Defend the Campus,1,2.0,0.0,/resources/cube-map/?cube=
Expel,1,2.0,0.0,/resources/cube-map/?cube=
Bayou Groff,6,1.95,0.43493294502332963,/resources/cube-map/?cube=2as&cube=7a8
Curate,2,1.9,0.3999999999999999,/resources/cube-map/?cube=
Fuming Effigy,1,1.9,0.0,/resources/cube-map/?cube=
Serpentine Curve,1,1.9,0.0,/resources/cube-map/?cube=
Pilgrim of the Ages,3,1.8333333333333333,0.23570226039551584,/resources/cube-map/?cube=90x
Letter of Acceptance,2,1.75,0.25,/resources/cube-map/?cube=
First Day of Class,2,1.75,0.25,/resources/cube-map/?cube=
Moldering Karok,2,1.7,0.5999999999999999,/resources/cube-map/?cube=
Combat Professor,4,1.7,0.3240370349203931,/resources/cube-map/?cube=7a8
Elemental Masterpiece,2,1.65,0.15000000000000002,/resources/cube-map/?cube=2as
Blood Researcher,1,1.6,0.0,/resources/cube-map/?cube=
Lorehold Pledgemage,1,1.5,0.0,/resources/cube-map/?cube=
Expanded Anatomy,1,1.5,0.0,/resources/cube-map/?cube=
Eureka Moment,2,1.5,0.5,/resources/cube-map/?cube=
Tome Shredder,2,1.4500000000000002,0.35,/resources/cube-map/?cube=7a8
Beaming Defiance,1,1.4,0.0,/resources/cube-map/?cube=
Cogwork Archivist,1,1.0,0.0,/resources/cube-map/?cube=90x
Lorehold Excavation,1,1.0,0.0,/resources/cube-map/?cube=90x
Illustrious Historian,1,1.0,0.0,/resources/cube-map/?cube=
Excavated Wall,1,1.0,0.0,/resources/cube-map/?cube=
Professor of Zoomancy,1,1.0,0.0,/resources/cube-map/?cube=90x
Reconstruct History,1,1.0,0.0,/resources/cube-map/?cube=90x
