name,testers,averageRating,rankingStDev,mapLink
Stonebinder's Familiar,1,2.8,0.0,/resources/cube-map/?cube=1a
Decisive Denial,3,2.733333333333333,0.20548046676563253,/resources/cube-map/?cube=
Lorehold Campus,3,2.6666666666666665,0.4714045207910317,/resources/cube-map/?cube=k3a
Quandrix Campus,3,2.6666666666666665,0.4714045207910317,/resources/cube-map/?cube=k3a
Prismari Campus,3,2.6666666666666665,0.4714045207910317,/resources/cube-map/?cube=k3a
Witherbloom Campus,3,2.6666666666666665,0.4714045207910317,/resources/cube-map/?cube=k3a
Silverquill Campus,3,2.6666666666666665,0.4714045207910317,/resources/cube-map/?cube=k3a
"Rootha, Mercurial Artist",1,2.6,0.0,/resources/cube-map/?cube=13x
Rip Apart,6,2.5833333333333335,0.3715582801601326,/resources/cube-map/?cube=380&cube=934
Frost Trickster,13,2.5384615384615383,0.4566406793740256,/resources/cube-map/?cube=ygq&cube=ijs&cube=380&cube=k3a&cube=934&cube=1nb&cube=eap&cube=13x
"Quintorius, Field Historian",3,2.533333333333333,0.4109609335312651,/resources/cube-map/?cube=vzd&cube=9c9
Symmetry Sage,1,2.5,0.0,/resources/cube-map/?cube=
Infuse with Vitality,1,2.5,0.0,/resources/cube-map/?cube=
Quandrix Pledgemage,1,2.5,0.0,/resources/cube-map/?cube=
Tend the Pests,1,2.5,0.0,/resources/cube-map/?cube=
Mage Duel,1,2.5,0.0,/resources/cube-map/?cube=
Mage Hunters' Onslaught,1,2.5,0.0,/resources/cube-map/?cube=k3a
Illustrious Historian,1,2.5,0.0,/resources/cube-map/?cube=9c9
Zephyr Boots,10,2.4400000000000004,0.4127953488110059,/resources/cube-map/?cube=ijs&cube=gok&cube=1a&cube=k3a&cube=934&cube=1nb&cube=13x
Reconstruct History,5,2.44,0.3261901286060018,/resources/cube-map/?cube=vzd&cube=9c9&cube=380
Expressive Iteration,4,2.4000000000000004,0.12247448713915883,/resources/cube-map/?cube=
Prismari Apprentice,1,2.4,0.0,/resources/cube-map/?cube=
Team Pennant,1,2.4,0.0,/resources/cube-map/?cube=
Elemental Masterpiece,2,2.4,0.10000000000000009,/resources/cube-map/?cube=1a&cube=k3a
Curate,8,2.3874999999999997,0.4675401052316261,/resources/cube-map/?cube=ygq&cube=gok&cube=380&cube=k3a&cube=3az&cube=13x
