name,testers,averageRating,rankingStDev,mapLink
Silverquill Pledgemage,1,3.0,0.0,/resources/cube-map/?cube=jvu
Teach by Example,1,3.0,0.0,/resources/cube-map/?cube=jvu
Prismari Pledgemage,1,3.0,0.0,/resources/cube-map/?cube=jvu
Elemental Summoning,1,3.0,0.0,/resources/cube-map/?cube=jvu
Rise of Extus,1,3.0,0.0,/resources/cube-map/?cube=jvu
Mortality Spear,3,3.0,0.0,/resources/cube-map/?cube=1so&cube=uaf
Lorehold Pledgemage,1,3.0,0.0,/resources/cube-map/?cube=jvu
Inkling Summoning,2,2.75,0.25,/resources/cube-map/?cube=jvu&cube=1hs
Shineshadow Snarl,4,2.525,0.4763139720814412,/resources/cube-map/?cube=7u&cube=1vv&cube=hm4&cube=uaf
Abundant Harvest,57,2.519298245614035,0.43867367741873925,/resources/cube-map/?cube=bsk&cube=yn4&cube=jq&cube=5ar&cube=j9&cube=v3v&cube=5xj&cube=4ij&cube=9&cube=t7&cube=gll&cube=8n&cube=7yk&cube=74x&cube=wf&cube=di1&cube=kq&cube=k4a&cube=1vv&cube=b8&cube=hm4&cube=l9i&cube=riz&cube=1su&cube=92t&cube=2lp&cube=2le&cube=sps&cube=m78&cube=7c&cube=um4&cube=vc&cube=85d&cube=196&cube=18x&cube=qlo&cube=5nq&cube=bt&cube=1mk&cube=me&cube=1s&cube=1bh&cube=78g&cube=5w9&cube=6f
Eureka Moment,2,2.5,0.0,/resources/cube-map/?cube=kk7
Reduce to Memory,1,2.5,0.0,/resources/cube-map/?cube=1hs
Strixhaven Stadium,2,2.5,0.5,/resources/cube-map/?cube=j15
Elemental Expressionist,2,2.5,0.5,/resources/cube-map/?cube=jvu
Furycalm Snarl,4,2.5,0.5,/resources/cube-map/?cube=7u&cube=1vv&cube=hm4&cube=uaf
Lorehold Excavation,2,2.5,0.5,/resources/cube-map/?cube=uaf
Spirit Summoning,2,2.5,0.5,/resources/cube-map/?cube=jvu&cube=1hs
Excavated Wall,1,2.5,0.0,/resources/cube-map/?cube=8am
Academic Probation,1,2.5,0.0,/resources/cube-map/?cube=1hs
Vineglimmer Snarl,4,2.475,0.5261891294962296,/resources/cube-map/?cube=7u&cube=1vv&cube=hm4&cube=uaf
Necroblossom Snarl,4,2.475,0.5261891294962296,/resources/cube-map/?cube=7u&cube=1vv&cube=hm4&cube=uaf
