Card,Number,Average Rating,Average Stdev
Nadir Kraken,45,2.2777777777777777,0.6373169066533327
Phoenix of Ash,40,2.3,0.48153400710645555
"Elspeth, Sun's Nemesis",37,2.418918918918919,0.5636933409355193
Woe Strider,34,2.0441176470588234,0.7511525170071843
"Uro, Titan of Nature's Wrath",31,1.9435483870967742,0.7451717636465489
Eidolon of Obstruction,30,1.9,0.5972157622389638
Omen of the Sea,28,2.3392857142857144,0.7682723130106769
Agonizing Remorse,27,2.324074074074074,0.6078758356359204
Shatter the Sky,26,2.4038461538461537,0.5003696858176033
Thassa's Intervention,26,2.2403846153846154,0.5737895672244497
"Ashiok, Nightmare Muse",25,2.49,0.5023942674832188
The First Iroan Games,25,2.14,0.7939773296511684
Storm's Wrath,19,1.9078947368421053,0.5860804592452654
"Kroxa, Titan of Death's Hunger",17,1.5588235294117647,0.5111219763818461
"Anax, Hardened in the Forge",16,2.0,0.75
"Thassa, Deep-Dwelling",16,2.125,0.649519052838329
Shadowspear,15,1.5666666666666667,0.679869268479038
Tectonic Giant,15,1.6333333333333333,0.5617433182117573
Nightmare Shepherd,14,1.75,0.6196196990320526
Wolfwillow Haven,13,2.3653846153846154,0.5058825553063809
"Taranika, Akroan Veteran",13,1.6153846153846154,0.5600084530215783
"Thryx, the Sudden Storm",12,1.7708333333333333,0.7177680490396756
Dryad of the Ilysian Grove,12,1.7916666666666667,0.6601241465731191
"Alirios, Enraptured",11,2.0,0.6030226891555273
Underworld Rage-Hound,11,1.8863636363636365,0.6157371447338211
"Atris, Oracle of Half-Truths",10,2.1,0.5385164807134505
Erebos's Intervention,10,2.25,0.6422616289332564
Ilysian Caryatid,9,2.5,0.6236095644623235
Mire Triton,9,1.9722222222222223,0.6285393610547089
Voracious Typhon,8,1.90625,0.7493486755176124
"Klothys, God of Destiny",8,1.625,0.649519052838329
Satyr's Cunning,8,2.40625,0.4318835925339142
"Heliod, Sun-Crowned",8,2.0,0.5590169943749475
Underworld Breach,8,2.375,0.8569568250501305
Irreverent Revelers,8,2.5625,0.582961190818051
Underworld Charger,7,1.7142857142857142,0.9202927661946518
Elspeth Conquers Death,7,1.7857142857142858,0.7491491772643939
Purphoros's Intervention,7,2.1785714285714284,0.3462628469583093
Eat to Extinction,7,2.0,0.5345224838248488
Omen of the Sun,6,1.5833333333333333,0.7312470322826768
Thassa's Oracle,6,2.0,0.5773502691896257
"Polukranos, Unchained",5,1.4,0.8000000000000002
Daybreak Chimera,5,2.4,0.8
Mire's Grasp,5,2.3,0.39999999999999997
"Renata, Called to the Hunt",5,1.8,0.7483314773547883
Lampad of Death's Vigil,4,1.75,0.25
Tymaret Calls the Dead,4,1.75,0.75
Kiora Bests the Sea God,4,1.625,0.414578098794425
Naiad of Hidden Coves,4,1.75,0.4330127018922193
Omen of the Dead,4,1.9375,0.6218671481916375
Medomai's Prophecy,4,1.3125,0.2072890493972125
Pharika's Libation,4,2.0,0.7071067811865476
Glimpse of Freedom,3,1.75,0.3535533905932738
Hero of the Pride,3,1.3333333333333333,0.4714045207910317
Haktos the Unscarred,3,1.8333333333333333,0.23570226039551584
Careless Celebrant,3,1.6666666666666667,1.0274023338281628
Arasta of the Endless Web,3,1.3333333333333333,0.8498365855987975
The Birth of Meletis,3,1.0,0.0
"Purphoros, Bronze-Blooded",3,2.1666666666666665,0.6236095644623235
Chainweb Aracnir,3,2.1666666666666665,0.8498365855987975
Flicker of Fate,3,1.6666666666666667,0.4714045207910317
Blight-Breath Catoblepas,3,1.3333333333333333,0.4714045207910317
Elspeth's Nightmare,3,1.5,0.408248290463863
Sentinel's Eyes,3,1.6666666666666667,0.4714045207910317
Transcendent Envoy,3,1.5,0.408248290463863
Mogis's Favor,3,2.0,0.816496580927726
Warbriar Blessing,3,2.25,0.5400617248673217
Acolyte of Affliction,3,2.6666666666666665,0.4714045207910317
"Callaphe, Beloved of the Sea",3,2.3333333333333335,0.4714045207910317
Whirlwind Denial,2,1.25,0.25
Funeral Rites,2,1.625,0.625
Pharika's Spawn,2,2.0,1.0
Destiny Spinner,2,2.5,0.0
Sleep of the Dead,2,1.0,0.0
"Daxos, Blessed by the Sun",2,2.5,0.5
Drag to the Underworld,2,1.25,0.25
Thirst for Meaning,2,1.5,0.5
Omen of the Forge,2,0.75,0.25
Grim Physician,2,1.75,1.25
Setessan Training,2,1.5,0.5
"Aphemia, the Cacophony",2,1.25,0.75
Setessan Champion,2,2.5,0.0
Blood Aspirant,2,2.875,0.125
Karametra's Blessing,2,2.5,0.5
Warden of the Chained,2,1.0,0.5
Gravebreaker Lamia,2,1.5,0.5
Alseid of Life's Bounty,2,1.5,0.5
Dawn Evangel,2,1.25,0.25
Omen of the Hunt,2,1.0,0.0
Leonin of the Lost Pride,2,1.0,0.0
Hero of the Games,2,2.0,1.0
Aspect of Manticore,2,1.0,0.0
Threnody Singer,2,1.25,0.25
"Siona, Captain of the Pyleas",2,2.25,0.25
Ichthyomorphosis,2,1.5,0.5
Vexing Gull,2,1.0,0.0
Dreadful Apathy,1,3.0,0.0
Chain to Memory,1,2.0,0.0
Final Flare,1,3.0,0.0
Elite Instructor,1,2.0,0.0
Fruit of Tizerus,1,3.0,0.0
Incendiary Oracle,1,2.0,0.0
Indomitable Will,1,3.0,0.0
Thaumaturge's Familiar,1,2.0,0.0
Towering-Wave Mystic,1,3.0,0.0
Discordant Piper,1,3.0,0.0
Skophos Warleader,1,2.0,0.0
Portent of Betrayal,1,3.0,0.0
Rage-Scarred Berserker,1,2.0,0.0
Bronzehide Lion,1,3.0,0.0
Moss Viper,1,3.0,0.0
Riptide Turtle,1,3.0,0.0
Wings of Hubris,1,2.0,0.0
Stampede Rider,1,3.0,0.0
Gift of Strength,1,3.0,0.0
Wrap in Flames,1,3.0,0.0
Arena Trickster,1,3.0,0.0
Stinging Lionfish,1,3.0,0.0
Nyxbloom Ancient,1,1.5,0.0
Eidolon of Inspiration,1,2.0,0.0
Staggering Insight,1,3.0,0.0
Deny the Divine,1,1.0,0.0
Return to Nature,1,1.0,0.0
Ox of Agonas,1,2.0,0.0
Witness of Tomorrows,1,2.0,0.0
Starlit Mantle,1,2.0,0.0
Oread of Mountain's Blaze,1,2.0,0.0
Nylea's Huntmaster,1,2.0,0.0
Cling to Dust,1,1.25,0.0
Archon of Sun's Grace,1,2.5,0.0
Hyrax Tower Scout,1,1.0,0.0
The Akroan War,1,1.0,0.0
Dream Trawler,1,2.0,0.0
Skola Grovedancer,1,1.5,0.0
Hero of the Nyxborn,1,2.0,0.0
"Erebos, Bleak-Hearted",1,1.5,0.0
Lagonna-Band Storyteller,1,2.0,0.0
"Dalakos, Crafter of Wonders",1,1.0,0.0
Heroes of the Revel,1,3.0,0.0
Hero of the Winds,1,2.0,0.0
Wavebreak Hippocamp,1,1.0,0.0
Dreamshaper Shaman,1,1.0,0.0
Nessian Boar,1,1.5,0.0
Nylea's Forerunner,1,1.0,0.0
Mindwrack Harpy,1,1.0,0.0
Unknown Shores,1,1.0,0.0
Nessian Hornbeetle,1,2.5,0.0
Venomous Hierophant,1,1.0,0.0
Aspect of Lamprey,1,1.0,0.0
