Card,Number,Average Rating,Average Stdev
"Anax, Hardened in the Forge",3,3.0,0.0
"Renata, Called to the Hunt",2,2.0,0.0
Omen of the Sea,2,2.75,0.25
Agonizing Remorse,2,2.75,0.25
Chainweb Aracnir,2,2.5,0.0
Destiny Spinner,1,2.5,0.0
Daybreak Chimera,1,2.5,0.0
Pharika's Libation,1,2.5,0.0
Staggering Insight,1,3.0,0.0
Skola Grovedancer,1,1.5,0.0
Warden of the Chained,1,0.5,0.0
"Siona, Captain of the Pyleas",1,2.5,0.0
"Callaphe, Beloved of the Sea",1,1.5,0.0
Acolyte of Affliction,1,3.0,0.0
Wolfwillow Haven,1,2.0,0.0
Warbriar Blessing,1,1.75,0.0
Voracious Typhon,1,1.25,0.0
Dawn Evangel,1,1.5,0.0
Storm's Wrath,1,2.75,0.0
Setessan Training,1,1.0,0.0
"Daxos, Blessed by the Sun",1,2.0,0.0
Irreverent Revelers,1,3.0,0.0
Careless Celebrant,1,3.0,0.0
Blood Aspirant,1,2.75,0.0
Omen of the Dead,1,2.75,0.0
Mire Triton,1,1.75,0.0
Funeral Rites,1,2.25,0.0
Cling to Dust,1,1.25,0.0
Glimpse of Freedom,1,1.25,0.0
"Alirios, Enraptured",1,1.5,0.0
Transcendent Envoy,1,1.5,0.0
Omen of the Sun,1,3.0,0.0
Nessian Hornbeetle,1,2.0,0.0
