Card,Number,Average Rating,Average Stdev
Nadir Kraken,43,2.244186046511628,0.6321989404217762
Phoenix of Ash,39,2.3076923076923075,0.4852356632762965
"Elspeth, Sun's Nemesis",37,2.418918918918919,0.5636933409355193
Woe Strider,34,2.0441176470588234,0.7511525170071843
"Uro, Titan of Nature's Wrath",30,1.9083333333333334,0.7316742596416949
Eidolon of Obstruction,29,1.896551724137931,0.6071316159192762
Thassa's Intervention,26,2.2403846153846154,0.5737895672244497
Agonizing Remorse,25,2.33,0.6273754856543249
"Ashiok, Nightmare Muse",25,2.49,0.5023942674832188
Shatter the Sky,25,2.38,0.4955804677345547
The First Iroan Games,24,2.1041666666666665,0.7902948640996107
Omen of the Sea,23,2.369565217391304,0.7832123275935576
Storm's Wrath,18,1.8611111111111112,0.5665577237325317
"Kroxa, Titan of Death's Hunger",16,1.53125,0.5144399260360728
Tectonic Giant,15,1.6333333333333333,0.5617433182117573
"Thassa, Deep-Dwelling",15,2.066666666666667,0.6289320754704402
Shadowspear,13,1.5,0.5883484054145521
"Anax, Hardened in the Forge",13,1.7692307692307692,0.6389710663783134
Nightmare Shepherd,13,1.6923076923076923,0.6056929133855239
"Taranika, Akroan Veteran",12,1.5833333333333333,0.5713045500334204
"Thryx, the Sudden Storm",11,1.75,0.7462025072446364
Wolfwillow Haven,11,2.4318181818181817,0.5232211106009699
Dryad of the Ilysian Grove,10,1.7,0.6
"Atris, Oracle of Half-Truths",10,2.1,0.5385164807134505
Erebos's Intervention,10,2.25,0.6422616289332564
Satyr's Cunning,8,2.40625,0.4318835925339142
Underworld Breach,8,2.375,0.8569568250501305
"Klothys, God of Destiny",8,1.625,0.649519052838329
"Alirios, Enraptured",8,1.8125,0.42847841252506524
"Heliod, Sun-Crowned",8,2.0,0.5590169943749475
Ilysian Caryatid,7,2.642857142857143,0.6388765649999398
Purphoros's Intervention,7,2.1785714285714284,0.3462628469583093
Eat to Extinction,6,2.0,0.5773502691896257
Underworld Rage-Hound,6,1.9583333333333333,0.7418539089485356
Elspeth Conquers Death,6,1.5833333333333333,0.6066758241067098
Mire Triton,6,1.6666666666666667,0.3726779962499649
"Polukranos, Unchained",5,1.4,0.8000000000000002
Irreverent Revelers,5,2.5,0.6324555320336759
Medomai's Prophecy,4,1.3125,0.2072890493972125
Kiora Bests the Sea God,4,1.625,0.414578098794425
Tymaret Calls the Dead,3,1.5,0.7071067811865476
Thassa's Oracle,3,2.0,0.816496580927726
Arasta of the Endless Web,3,1.3333333333333333,0.8498365855987975
"Purphoros, Bronze-Blooded",3,2.1666666666666665,0.6236095644623235
Haktos the Unscarred,3,1.8333333333333333,0.23570226039551584
The Birth of Meletis,3,1.0,0.0
Underworld Charger,3,1.6666666666666667,1.0274023338281628
Voracious Typhon,2,1.5,0.5
Whirlwind Denial,2,1.25,0.25
Elspeth's Nightmare,2,1.5,0.5
Setessan Champion,2,2.5,0.0
"Aphemia, the Cacophony",2,1.25,0.75
"Renata, Called to the Hunt",2,1.0,0.0
Glimpse of Freedom,2,2.0,0.0
Thirst for Meaning,1,2.0,0.0
Omen of the Forge,1,0.5,0.0
Careless Celebrant,1,0.5,0.0
Alseid of Life's Bounty,1,2.0,0.0
Eidolon of Inspiration,1,2.0,0.0
Mire's Grasp,1,2.0,0.0
Nyxbloom Ancient,1,1.5,0.0
Return to Nature,1,1.0,0.0
Mogis's Favor,1,1.0,0.0
Destiny Spinner,1,2.5,0.0
Pharika's Libation,1,2.0,0.0
Chainweb Aracnir,1,1.0,0.0
Threnody Singer,1,1.5,0.0
Grim Physician,1,0.5,0.0
Omen of the Sun,1,1.0,0.0
Wavebreak Hippocamp,1,1.0,0.0
"Dalakos, Crafter of Wonders",1,1.0,0.0
"Erebos, Bleak-Hearted",1,1.5,0.0
Drag to the Underworld,1,1.0,0.0
Bronzehide Lion,1,3.0,0.0
Minion's Return,1,3.0,0.0
Lampad of Death's Vigil,1,1.5,0.0
Archon of Sun's Grace,1,2.5,0.0
Hyrax Tower Scout,1,1.0,0.0
The Akroan War,1,1.0,0.0
Dream Trawler,1,2.0,0.0
"Kunoros, Hound of Athreos",1,1.0,0.0
