name,testers,averageRating,rankingStDev
Roil Eruption,4,2.7750000000000004,0.3344772040064912
Marauding Blight-Priest,3,2.7000000000000006,4.440892098500626e-16
Broken Wings,1,2.7,0.0
Nimana Skydancer,1,2.5,0.0
Joraga Visionary,1,2.5,0.0
Mind Drain,2,2.4000000000000004,0.19999999999999996
Deliberate,1,2.4,0.0
Spare Supplies,2,2.4,0.3999999999999999
Scale the Heights,2,2.4,0.10000000000000009
Prowling Felidar,2,2.3,0.7
Makindi Ox,1,2.3,0.0
Akoum Hellhound,6,2.25,0.4991659710623979
Malakir Blood-Priest,3,2.2333333333333334,0.6128258770283412
Skyclave Squid,1,2.2,0.0
Kor Celebrant,2,2.2,0.09999999999999987
Fissure Wizard,1,2.2,0.0
Zulaport Duelist,1,2.2,0.0
Territorial Scythecat,3,2.1666666666666665,0.24944382578492946
Bubble Snare,3,2.1333333333333333,0.20548046676563253
Spitfire Lagac,2,2.1,0.29999999999999993
Gnarlid Colony,4,2.0999999999999996,0.31622776601683794
Cliffhaven Kitesail,2,2.05,0.050000000000000044
Sea Gate Banneret,2,2.05,0.15000000000000013
Utility Knife,2,2.05,0.2499999999999999
Angelheart Protector,1,2.0,0.0
Anticognition,1,2.0,0.0
Adventure Awaits,4,2.0,0.6041522986797286
Feed the Swarm,5,1.9,0.5513619500836089
Hagra Constrictor,2,1.85,0.3500000000000001
Glacial Grasp,1,1.8,0.0
Kazandu Nectarpot,2,1.8,0.19999999999999996
Tuktuk Rubblefort,2,1.75,0.45000000000000007
Expedition Healer,3,1.7,0.14142135623730953
Dreadwurm,2,1.55,0.44999999999999996
Resolute Strike,1,1.5,0.0
Canopy Baloth,1,1.5,0.0
Dauntless Unity,1,1.5,0.0
Mesa Lynx,1,1.4,0.0
Cliffhaven Sell-Sword,1,1.0,0.0
Kabira Outrider,1,1.0,0.0
