name,testers,averageRating,rankingStDev
Needleverge Pathway // Pillarverge Pathway,1,3.0,0.0
Canyon Jerboa,1,3.0,0.0
Branchloft Pathway // Boulderloft Pathway,1,3.0,0.0
Umara Mystic,2,3.0,0.0
Vastwood Surge,1,3.0,0.0
Brightclimb Pathway // Grimclimb Pathway,1,3.0,0.0
Clearwater Pathway // Murkwater Pathway,1,3.0,0.0
Riverglide Pathway // Lavaglide Pathway,1,3.0,0.0
Cragcrown Pathway // Timbercrown Pathway,1,3.0,0.0
Adventure Awaits,1,3.0,0.0
Deliberate,2,2.75,0.25
Cleansing Wildfire,1,2.6,0.0
Living Tempest,1,2.5,0.0
Scale the Heights,1,2.5,0.0
Cunning Geysermage,1,2.5,0.0
Roil Eruption,3,2.5,0.408248290463863
Nahiri's Binding,2,2.5,0.0
Bloodchief's Thirst,5,2.5,0.4472135954999579
Kazuul's Fury // Kazuul's Cliffs,2,2.5,0.5
Silundi Vision // Silundi Isle,3,2.466666666666667,0.44969125210773475
Cliffhaven Kitesail,1,2.4,0.0
Blackbloom Rogue // Blackbloom Bog,3,2.3666666666666667,0.5792715732327589
Jwari Disruption // Jwari Ruins,3,2.3333333333333335,0.6236095644623235
Brushfire Elemental,3,2.3333333333333335,0.6236095644623235
Cleric of Life's Bond,2,2.25,0.25
Bubble Snare,2,2.25,0.04999999999999982
Sejiri Shelter // Sejiri Glacier,4,2.25,0.5590169943749475
Bala Ged Recovery // Bala Ged Sanctuary,7,2.242857142857143,0.4435478484645721
Fireblade Charger,2,2.2,0.19999999999999996
Fissure Wizard,2,2.2,0.8
Marauding Blight-Priest,3,2.1666666666666665,0.4714045207910317
Spikefield Hazard // Spikefield Cave,3,2.1666666666666665,0.23570226039551584
Windrider Wizard,5,2.1399999999999997,0.2727636339397171
Scavenged Blade,1,2.0,0.0
Demon's Disciple,2,2.0,0.5
Kor Celebrant,1,2.0,0.0
Goma Fada Vanguard,1,2.0,0.0
Canopy Baloth,1,2.0,0.0
Hagra Constrictor,1,2.0,0.0
Kitesail Cleric,1,2.0,0.0
Merfolk Windrobber,2,2.0,0.0
Cinderclasm,2,2.0,0.0
Tazeem Roilmage,2,2.0,1.0
Territorial Scythecat,2,2.0,0.5
Fearless Fledgling,9,1.9555555555555553,0.5599823630379623
Malakir Rebirth // Malakir Mire,3,1.9333333333333333,0.8219218670625302
Akoum Hellhound,5,1.9,0.5966573556070519
Broken Wings,2,1.9,0.09999999999999998
Spare Supplies,1,1.9,0.0
Makindi Stampede // Makindi Mesas,4,1.875,0.414578098794425
Rockslide Sorcerer,3,1.8333333333333333,0.23570226039551584
Tangled Florahedron // Tangled Vale,3,1.8333333333333333,0.6236095644623235
Feed the Swarm,3,1.8333333333333333,0.23570226039551584
Khalni Ambush // Khalni Territory,2,1.75,0.25
Pelakka Predation // Pelakka Caverns,2,1.75,0.25
Skyclave Geopede,2,1.75,0.25
Umara Wizard // Umara Skyfalls,4,1.75,0.5590169943749475
Skyclave Cleric // Skyclave Basilica,6,1.7333333333333332,0.5312459150169742
Kabira Takedown // Kabira Plateau,5,1.72,0.5230678732248808
Akoum Warrior // Akoum Teeth,3,1.6333333333333335,0.18856180831641264
Moss-Pit Skeleton,1,1.6,0.0
Molten Blast,1,1.5,0.0
Iridescent Hornbeetle,1,1.5,0.0
Kor Blademaster,1,1.5,0.0
Relic Golem,1,1.5,0.0
Pyroclastic Hellion,1,1.5,0.0
Grotag Night-Runner,2,1.5,0.0
Beyeen Veil // Beyeen Coast,2,1.5,0.5
Song-Mad Treachery // Song-Mad Ruins,2,1.3,0.30000000000000004
Murasa Rootgrazer,2,1.25,0.25
Vastwood Fortification // Vastwood Thicket,2,1.25,0.25
Zof Consumption // Zof Bloodbog,1,1.0,0.0
Roiling Regrowth,1,1.0,0.0
Thwart the Grave,1,1.0,0.0
Expedition Healer,1,1.0,0.0
