name,testers,averageRating,rankingStDev
Lithoform Blight,1,2.7,0.0
Gnarlid Colony,1,2.6,0.0
Thieving Skydiver,91,2.5000000000000004,0.4992301766027062
Concerted Defense,3,2.5,0.408248290463863
Prowling Felidar,1,2.5,0.0
Scion of the Swarm,1,2.5,0.0
"Shatterskull Smashing // Shatterskull, the Hammer Pass",77,2.471428571428572,0.49565832986331837
Beyeen Veil // Beyeen Coast,6,2.4499999999999997,0.582380173655205
"Turntimber Symbiosis // Turntimber, Serpentine Wood",76,2.4473684210526314,0.48217535689025404
Clearwater Pathway // Murkwater Pathway,32,2.4,0.5695392874947259
Ravager's Mace,1,2.4,0.0
Paired Tactician,1,2.4,0.0
Canopy Baloth,1,2.4,0.0
Riverglide Pathway // Lavaglide Pathway,31,2.396774193548387,0.5738853830534579
"Agadeem's Awakening // Agadeem, the Undercrypt",78,2.3871794871794862,0.5513059028829487
Lithoform Engine,7,2.3857142857142857,0.4120630029101702
Branchloft Pathway // Boulderloft Pathway,30,2.3833333333333337,0.5657345274557278
Needleverge Pathway // Pillarverge Pathway,33,2.3787878787878793,0.5860797214143109
Iridescent Hornbeetle,3,2.3666666666666667,0.47842333648024404
Brightclimb Pathway // Grimclimb Pathway,32,2.3375,0.5818880906153692
"Moraug, Fury of Akoum",3,2.333333333333333,0.6599663291074443
Bloodchief's Thirst,75,2.329333333333333,0.5145284788576386
Nahiri's Lithoforming,4,2.325,0.6299801584177076
Zof Consumption // Zof Bloodbog,4,2.325,0.7189401922274203
Cragcrown Pathway // Timbercrown Pathway,32,2.325,0.5836308764964375
Skyclave Shade,98,2.320408163265306,0.4921753428369063
"Emeria's Call // Emeria, Shattered Skyclave",80,2.3162499999999997,0.5425504008845633
Attended Healer,3,2.3000000000000003,0.14142135623730942
Relic Amulet,1,2.3,0.0
Luminarch Aspirant,110,2.2990909090909093,0.4741490855963987
Roil Eruption,46,2.2934782608695654,0.6611591184897874
Umara Wizard // Umara Skyfalls,11,2.290909090909091,0.637401750653022
Khalni Ambush // Khalni Territory,17,2.2882352941176474,0.5143612291458629
"Taborax, Hope's Demise",5,2.2800000000000002,0.4261455150532503
Kazandu Mammoth // Kazandu Valley,76,2.2618421052631574,0.5134934800137393
Kargan Intimidator,98,2.2602040816326534,0.5154233045182215
Song-Mad Treachery // Song-Mad Ruins,7,2.257142857142857,0.6388765649999398
Nahiri's Binding,8,2.25,0.7314369419163896
"Orah, Skyclave Hierophant",2,2.25,0.25
Hagra Constrictor,2,2.25,0.04999999999999982
Anticognition,5,2.2399999999999998,0.3878143885933063
Skyclave Pick-Axe,3,2.2333333333333334,0.12472191289246463
Deliberate,35,2.2285714285714286,0.5578383936852929
Angel of Destiny,4,2.225,0.17853571071357124
Nighthawk Scavenger,78,2.2192307692307693,0.5220908881253445
Makindi Stampede // Makindi Mesas,7,2.2142857142857144,0.5890150893739515
Hagra Mauling // Hagra Broodpit,49,2.2102040816326527,0.5559492334623927
Pelakka Predation // Pelakka Caverns,13,2.207692307692308,0.5730640163750514
Blackbloom Rogue // Blackbloom Bog,10,2.2,0.7987490219086343
Forsaken Monument,5,2.2,0.7183313998427188
"Zareth San, the Trickster",3,2.1999999999999997,0.496655480858378
Silundi Vision // Silundi Isle,17,2.1823529411764704,0.6157112521472717
Feed the Swarm,28,2.1500000000000004,0.5660010095902153
